AAIIIIIIIIIIIII,"See Notepad"
SLOWDOWNUPAHEAD,"What ""Pay Toll 1 Mile"" implies"
SLOWERTHANYOUIS,"Part 3 of remark"
SLOWINGTOACRAWL,"Decreasing in speed"
SLOWINGTOACRAWL,"Ending"
SLOWINGTOACRAWL,"Like traffic approaching construction"
SLOWINGTOACRAWL,"Stopping"
SLOWLYBUTSURELY,"How the tortoise competed against the hare"
SLOWLYBUTSURELY,"In a gradual, reliable fashion"
SLUGGERWILLIAMS,"TED"
SLUGOMAHAMOGULS,"Wallop Nebraska tycoons, palindromically?"
SLUGSINTHEMOUTH,"Result of a young wizard's spell? (think ""mollusks"")"
SLUGSINTHEMOUTH,"Spell result #9? (think mollusk)"
SLUROFTHEMOMENT,"End of the pun"
SMACKEDONESLIPS,"Prepared to eat"
SMACKONTHEWRIST,"Punish too lightly"
SMALLAPPLIANCES,"Iron and toaster"
SMALLAPPLIANCES,"Wedding gifts, often"
SMALLCLAIMSFOOD,"Two courts"
SMALLCLAMSCOURT,"Legal venue for nickel and dime cases?"
SMALLDEPRESSION,"Slump starting on Grayish Tuesday?"
SMALLHOUSESALAD,"Part of a dinner order"
SMALLPERCENTAGE,"Fraction"
SMALLPOXVACCINE,"Discovery by Edward Jenner in 1796"
SMALLPOXVACCINE,"Jenner contribution of 1796"
SMALLPRICETOPAY,"""Well worth it, if you ask me"""
SMALLPRICETOPAY,"Minor sacrifice"
SMALLPRICETOPAY,"Not much of a sacrifice"
SMALLPRICETOPAY,"Reasonable cost"
SMALLSIGNINASAN,"First part of an observation"
SMALLTHINGSWITH,"Quote, part 3"
SMALLTIMECROOKS,"2000 Woody Allen film"
SMALLTIMECROOKS,"2000 Woody Allen movie"
SMALLTIMECROOKS,"Petty criminals"
SMALLTIMECROOKS,"Petty thieves, e.g."
SMALLTIMECROOKS,"Picture starring 11D/55D"
SMALLTIMECROOKS,"Two-bit hustlers, e.g."
SMALLTIMECROOKS,"Woody Allen comedy of 2000"
SMALLTIMECROOKS,"Woody Allen film about cookie-making criminals"
SMALLWINEBOTTLE,"Split"
SMARTASKARLROVE,"""Libby was indicted on two counts of obstruction of justice, three counts of perjury, and one count of not being as ___."" (Jon Stewart)"
SMARTENVANBUREN,"Wise up a president?"
SMARTERTHANDOGS,"Part 2 of the quip"
SMASHHITSTHEHAY,"Result at a barnyard tennis match?"
SMASHINGPUMPKIN,"Member of Billy Corgan's former rock group"
SMASHINGSUCCESS,"Box office sensation"
SMASHTHEMTOBITS,"The only imaginable way for rock to beat scissors?"
SMELLSVICHYTOME,"""I don't think this is Evian""?"
SMILESMILESMILE,"DON'T look so sad!"
SMILESURPRISING,"Middle of quote"
SMITETIMESMITES,"Exterminate the bugs in Arthur Sulzberger, Jr.'s office?"
SMITHCORONATION,"Enthronement of a metalworker?"
SMITHSTARRSIMMS,"1993 & 1966 NFL & 1987 Super Bowl MVPs"
SMOCKANDMIRRORS,"What an artist needs for a self-portrait?"
SMOKEANDMIRRORS,"Artful deception"
SMOKEANDMIRRORS,"Magician's aids"
SMOKEANDMIRRORS,"Magician's deception"
SMOKEDSALMONAND,"___ cream cheese"
SMOKEFILLEDROOM,"Caucus site?"
SMOKEFILLEDROOM,"Political reformer's bane"
SMOKEFILLEDROOM,"Pols' spot for deal-making"
SMOKEFILLEDROOM,"Stereotypical deal-making site"
SMOKEFILLEDWOMB,"Where baby dragons come from?"
SMOKEGETSINYOUR,"Eyes left?"
SMOKEONTHEWATER,"1983 Deep Purple hit"
SMOKEONTHEWATER,"Deep Purple hit of 1973"
SMOKEONTHEWATER,"Deep Purple tune of '72"
SMOKEONTHEWATER,"Old expression that means ""Raise!""*"
SMOKEONTHEWATER,"Old-timer's way of saying ""I raise"""
SMOKESCREENBOMB,"Device whose fleecy clouds let wolves walk ""unseen"" among sheep (from Sheep Ahoy, 1954)"
SMOKESCREENTEST,"Subterfuge used in film demo?"
SMOOTHMOVEEXLAX,"""Nice going, moron!"""
SMOOTHOPERATORS,"Ladies' men"
SMOOTHOPERATORS,"Pickup line deliverers, perhaps"
SMOOTHROUGHNECK,"Polished rowdy?"
SMOTHERSSISTERS,"Renamed comedic entertainers?"
SMURFRODDERSDAY,"Blue cartoon character (5); Hot ___ (drag racers) (7); Christmas ___ (the 25th) (3)"
SNACKSFORAPARTY,"Chips"
SNAGINONESNYLON,"RUN"
SNAKEINTHEGRASS,"Backstabber"
SNAKEINTHEGRASS,"Concealed danger"
SNAKEINTHEGRASS,"False friend"
SNAKEINTHEGRASS,"Hidden enemy"
SNAKEINTHEGRASS,"Lawn mowing deterrent?"
SNAKEINTHEGRASS,"No true friend"
SNAKEINTHEGRASS,"No-goodnik"
SNAKEINTHEGRASS,"Symbol of treachery"
SNAKEINTHEGRASS,"Tolkien forest giant"
SNAKEINTHEGRASS,"Treacherous false friend"
SNAKEINTHEGRASS,"Treacherous one"
SNAKEINTHEGRASS,"Treacherous person"
SNAKEINTHEGRASS,"Treacherous type"
SNAKEINTHEGRASS,"Unfaithful friend"
SNAKERAINDINNER,"Three more dances"
SNAPINSPECTIONS,"Some nonproliferation treaty provisions"
SNAPPERJUDGMENT,"Verdict for a tropical fish?"
SNAPPERLIGHTANT,"Three red things"
SNAPPINGOUTOFIT,"Waking up, in a way"
SNAPPINGTURTLES,"Critters with powerful jaws"
SNAPPINGTURTLES,"Official New York State reptiles"
SNAPPYTHETURTLE,"One of the less popular Beanie Babies?"
SNAPTOATTENTION,"Obey the drill instructor"
SNAPTOATTENTION,"Obey the drill sergeant"
SNAPTOATTENTION,"Obey the driller"
SNAREDRUMOUTPUT,"Roll"
SNEAKAQUICKPEEK,"Eye surreptitiously"
SNEAKATHEBORDER,"Immigrate illegally"
SNIDELYWHIPLASH,"1999 role for Alfred Molina"
SNIDELYWHIPLASH,"Dudley Do-Right's archenemy"
SNIDELYWHIPLASH,"Fictional mustache twirler"
SNIVELINGCOWARD,"Yellowbelly"
SNOOPYBEETHOVEN,"Famous Fidos"
SNOTTYANNOUNCER,"Guy to do the voice-overs about your opponent"
SNOWBALLEXPRESS,"Wintry Disney movie?"
SNOWBALLINHELLO,"Icy winter greeting?"
SNOWEDDOWNUNDER,"Hoodwinked in Hobart?"
SNOWGEESESTARVE,"White, web-footed birds die of malnutrition"
SNOWHOPPINGLIST,"Directory of moguls?"
SNOWMOBILETRAIL,"Winter track"
SNUBNOSEDMONKEY,"""What'd you call me? You ___!"""
SNUBNOSEDPLIERS,"It'll help you get a grip"
SNUFFYSMITHSKID,"Tater"
SNUGGLESTRUGGLE,"Clinch"
SOAKEDTOTHEBONE,"Dripping"
SOAKEDTOTHEBONE,"Saturated"
SOAKEDTOTHESKIN,"Not merely having wet clothes"
SOAKEDTOTHESKIN,"Possible dunk-tank result?"
SOAPOPERADIGEST,"Its regular features include ""Hot Plots Preview!"""
SOARLIKEANEAGLE,"Glide effortlessly through the air"
SOATOASTTOJIMMY,"More of the tribute"
SOBSHORTFEATURE,"Three more stories"
SOCCERANNOUNCER,"One who may comment on a beautiful head shot"
SOCIALADVANTAGE,"IN"
SOCIALBUTTERFLY,"One who flits from group to group"
SOCIALBUTTERFLY,"One who goes from party to party"
SOCIALDARWINISM,"Laissez-faire doctrine"
SOCIALDARWINISM,"Theory related to eugenics"
SOCIALDEMOCRATS,"Some European political leaders"
SOCIALDIRECTORS,"Party bosses?"
SOCIALGATHERING,"Bee"
SOCIALGATHERING,"PARTY"
SOCIALLIFESAVER,"Gregarious candy?"
SOCIALLUBRICANT,"Alcohol, it's said"
SOCIALREFORMERS,"Jacob Riis et al."
SOCIALREGISTERS,"Elite listings"
SOCIALSECRETARY,"Wanted: gregarious clerk"
SOCIETYFORSHORT,"104"
SOCKEDINTHENOSE,"Worse than slapped"
SOCKEDONTHENOSE,"Gave a knockout punch to"
SOCKINGAWAYCASH,"Saving bucks, big-time"
SOFTASABABYSBOT,"Comparable to a small child's R2-D2 toy?"
SOFTCREAMYCANDY,"FUDGE"
SOFTDRINKBRANDS,"Theme of this puzzle"
SOFTISSUEINJURY,"Damage to a paperback edition?"
SOFTNOSEDBULLET,"Dumdum"
SOFTPLAYSOMEONE,"Take it easy on another player (perhaps a friend)*"
SOFTWAREBREAKIN,"Hack"
SOFTWAREPACKAGE,"Computer-store buy"
SOFTWAREPIRATES,"Programmer's baseball team?"
SOFTWAREPIRATES,"Seton Hall graduates in programming?"
SOGGYBOTTOMBOYS,"'O Brother, Where Art Thou?' band, with 'the'"
SOIFTHEYCANTUNE,"Start of a quip"
SOITISFORTUNATE,"Part 2 of the quip"
SOLARBUDDYHONOR,"Three more systems"
SOLDEROFFORTUNE,"Electronics entrepreneur's publication?"
SOLEMNCOVENANTS,"Bugs at a witch's wake?"
SOLEPROPRIETORS,"Some small business owners"
SOLIDFOUNDATION,"Base to build on"
SOLIDFOUNDATION,"Good thing to build on"
SOLIDGOLDDANCER,"Featured player in a 1980s music show"
SOLOMONANDSHEBA,"Religious film hit of 1959"
SOLOMONANDSHEBA,"Yul Brynner film of '59"
SOLONGATTHEFAIR,"1950 Jean Simmons film"
SOLONGFORAWHILE,"""Your Hit Parade"" closing song"
SOLOPERFORMANCE,"Diva's aria, e.g."
SOLOPERFORMANCE,"Something for one to do"
SOLVETHEPROBLEM,"Fix things"
SOMEBODYLOVESME,"1924 DeSylva/MacDonald/Gershwin song"
SOMEBODYLOVESME,"Gershwin song of 1924"
SOMEBODYPINCHME,"""And that's how the dream always ends, with me typing up a script for the Three Stooges! ___! Just kidding."""
SOMEBODYWALKING,"Redefinition, part 3"
SOMECAMERUNNING,"1958 Frank Sinatra film"
SOMECAMERUNNING,"James Jones novel"
SOMECAMERUNNING,"James Jones title from Mark"
SOMEEGGSTRAEGGS,"Easter hunt leftovers?"
SOMEGOODFORTUNE,"Lucky break"
SOMEKINDOFAJOKE,"""What is this, ___?"""
SOMELIKEITHAUTE,"Movie about a preference for fashionable living?"
SOMEONEELSEHITS,"End of the quip"
SOMEONEWHOHELPS,"Part 2 of the quip"
SOMEOTHEREXCUSE,"End of the quip"
SOMEPEOPLESSOLE,"Start of quip"
SOMERSETMAUGHAM,"""Of Human Bondage"" author"
SOMERSETMAUGHAM,"""Of Human Bondage"" author, W. ___, who abandoned medicine to pursue writing"
SOMERSETMAUGHAM,"He wrote ""The Razor's Edge"""
SOMERSETMAUGHAM,"Playwright/novelist William ___"
SOMERSETMAUGHAM,"W."
SOMETHINGBETTER,"Part 3 of the confession"
SOMETHINGCAMEUP,"Brush-off from a gardener's secretary?"
SOMETHINGROTTEN,"What Hamlet sensed"
SOMETHINGSAFOOT,"""There's mystery in the air!"""
SOMETHINGSFISHY,"""Hmmm..."""
SOMETHINGSFISHY,"Rat smeller's words"
SOMETHINGTOHIDE,"What a sneak may have"
SOMETHINGTOHIDE,"What a sneaky person might have"
SOMETHINGTOJOIN,"-"
SOMETIMESAPPEAR,"Quip continued"
SOMETURNUPTHEIR,"Part 3 of the observation"
SOMEWHEREINTIME,"1980 Seymour-Reeve love story"
SOMEWHEREINTIME,"Christopher Reeve film"
SOMEWHEREINTIME,"Jane Seymour film"
SOMEWHEREINTIME,"Reeve-Seymour film: 1980"
SOMEWHEREINYOUR,"""___ Heart"": 1965 Sinatra hit"
SOMEWHEREMYLOVE,"Location of all the LARAs in this puzzle, sweetheart?"
SOMEWHEREMYLOVE,"Q: ""So, where are all of the LARAs in this puzzle, sweetheart?"" A: ""___"""
SOMUCHTHEBETTER,"""That's even more appealing"""
SONATINAONATINA,"""You won't find any ___ ___ Turner album"""
SONDHEIMMUSICAL,"""Passion"""
SONGANDDANCEMAN,"George M. Cohan, e.g."
SONGANDDANCEMAN,"Vaudeville type"
SONGSTRESSCAREY,"MARIA"
SONGSTRESSDINAH,"WASHINGTON"
SONGSTRESSDONNA,"SUMMER"
SONGWRITERELTON,"JOHN"
SONGWRITERRANDY,"Newman"
SONNETCOMMITTEE,"Group of ghostwriters for a Shakespeare poem?"
SONNETODEBALLAD,"Line of poetry?"
SONNETOFDRACULA,"14-liner from a pain in the neck?"
SONNYANDRANCHER,"Cattleman with his boy?"
SONOFBERNADETTE,"ot the best title for a nun-movie sequel?"
SONSOFTHEDESERT,"Laurel and Hardy classic"
SONSOFTHEDESERT,"Laurel and Hardy film with the line ""Well, here's another nice mess you've gotten me into!"""
SONYPLAYSTATION,"Genesis challenger"
SONYRCAMAGNAVOX,"TV series?"
SOONOVERTAKESIT,"End of the quote"
SOPHISTICEDLADY,"Classic Duke Ellington tune"
SOPHOMORESLUMPS,"Promising rookies' doses of reality"
SOPRANOLAVALAMP,"*1960s kitsch decor item owned by Tony and Carmela?"
SOPRANORECORDER,"High-pitched woodwind"
SOPROUDLYWEBAIL,"Flick about a bonding company?"
SOPROUDLYWEHAIL,"1943 film of the day"
SOPROUDLYWEWAIL,"Banshees' boast?"
SOREFEETWEATHER,"Epson salts soak climate?"
SORRYOLDCHAPEAU,"Worn-out hat?"
SORRYOUTOFSTOCK,"Salesperson's ""All gone!"""
SORRYTOHEARTHAT,"""That's a shame"""
SORRYTOHEARTHAT,"""What a shame"""
SORRYTOHEARTHAT,"Phrase of sympathy"
SORRYTOHEARTHAT,"Sympathetic response"
SORRYWERECLOSED,"Sign seen Sundays at many barbershops"
SOSOMOVIEREVIEW,"Two stars of newspapers"
SOTHATSYOURGAME,"""OHO!"""
SOULJABOYTELLEM,"Rapper with the #1 hit ""Crank That"""
SOUNDANDTHEFURY,"Faulkner novel, with ""The"""
SOUNDANDTHEFURY,"Faulkner's novel about the fall of an aristocratic family (with ""The"")"
SOUNDANDTHEFURY,"With 'The,' 1929 William Faulkner novel whose title comes from 'Macbeth'"
SOUNDINVESTMENT,"Blue chip, e.g."
SOUNDOFABIGBELL,"Dong"
SOUNDPROOFBOOTH,"Quiz-show chamber"
SOUNDSLIKEAPLAN,"""Agreed"""
SOUNDSLIKEAPLAN,"""It could work"""
SOUNDSOFSILENCE,"1965 Simon & Garfunkel hit, with ""The"""
SOUNDSOFSILENCE,"1966 Simon & Garfunkel album"
SOUNDSOFSILENCE,"1966 album that concludes with ""I Am a Rock"""
SOUNDSOFSILENCE,"Paradoxical-sounding song from ""The Graduate,"" with ""The"""
SOUNDSOFSILENCE,"Simon & Garfunkel album"
SOUNDSOFSILENCE,"Simon & Garfunkel's first hit, with ""The"""
SOUNDSOFSILENCE,"Simon and Garfunkel album of 1966"
SOUNDSOFSILENCE,"Simon and Garfunkel concept"
SOUNDSUGGESTION,"Good advice"
SOUNDTHERETREAT,"Give up"
SOUNDTHERETREAT,"Signal withdrawal"
SOUNDTHERETREAT,"Withdraw"
SOUPANDSANDWICH,"Basic lunch"
SOUPANDSANDWICH,"Combo meal"
SOUPANDSANDWICH,"Diner offering"
SOUPANDSANDWICH,"Lunch"
SOUPANDSANDWICH,"Lunch combo"
SOUPANDSANDWICH,"Lunch pair"
SOUPEATERSERROR,"Palindrome #3"
SOUPYSALESSAILS,"Comedian goes yachting?"
SOURCEOFTHENILE,"Dr. Livingstone's quest"
SOUSEDCARDEALER,"Auto honcho after a night on the town?"
SOUTHCHINASOOEY,"Hong Kong farmer's call?"
SOUTHEASTASIAGO,"Italian cheese from the Florida Keys?"
SOUTHEASTASIAGO,"Italian cheese sold in Florida or Georgia?"
SOUTHERNALABAMA,"Mobile home?"
SOUTHERNBAPTIST,"Martin Luther King Jr., e.g."
SOUTHERNBAPTIST,"Martin Luther King, Jr., for one"
SOUTHERNBAPTIST,"Mike Huckabee, for one"
SOUTHERNBAPTIST,"Protestant sect"
SOUTHERNCAPITAL,"JACKSON"
SOUTHERNCOMFORT,"Liquor created in New Orleans"
SOUTHERNCOMMAND,"Miami-based Department of Defense group"
SOUTHERNFLORIDA,"Place to find keys"
SOUTHPACIFICART,"Pago Pago paintings?"
SOUTHPAWPITCHER,"Lefty hurler, e.g."
SOUTHSEASCRUISE,"Trip to Tahiti, for example"
SOUTHSIDEHITMEN,"Nickname of the 1977 Chicago White Sox"
SOUTHVIETNAMESE,"From Ho Chi Minh City"
SOUTHWESTAFRICA,"Namibia, formerly"
SOUTHWESTAFRICA,"Now it's Namibia"
SOVIETCOMPOSERS,"Shchedrin and Shostakovich"
SOVIETORBITSMAN,"New York Times headline of 4/12/61"
SOWASTEITWISELY,"End of modern advice"
SOWHATELSEISGNU,"Bored big game hunter's lament?"
SOWHATELSEISNEW,"""I'm not surprised"""
SOWHATELSEISNEW,"""Just the same old, same old"""
SOWHATELSEISNEW,"""Now tell me something I don't know"""
SOWHATELSEISNEW,"""Tell me something I haven't heard"""
SOWHATELSEISNEW,"""That doesn't surprise me"""
SOWHATELSEISNEW,"""Yeah, and...?"""
SOWHATELSEISNEW,"Conversation continuer"
SOWHATELSEISNEW,"Gingrich biographer's inquiry?"
SOWHATELSEISNEW,"Gossip's question"
SOWHATSTHEPOINT,"""Huh?"""
SOWHATSTHEPOINT,"Huh?"
SOWHATSYOURSIGN,"Pass words?"
SOWONESWILDOATS,"Act promiscuously"
SOWONESWILDOATS,"Be profligate, in a way"
SOWONESWILDOATS,"Behave promiscuously"
SOWONESWILDOATS,"Behave self-indulgently"
SOWONESWILDOATS,"Carouse"
SOWONESWILDOATS,"Carouse, when young"
SOWONESWILDOATS,"Do an odd farm chore?"
SOWONESWILDOATS,"Have a youthful fling"
SOWONESWILDOATS,"Indulge in reckless, youthful behavior"
SOWONESWILDOATS,"Indulge in recklessness"
SOWSOFTHEBORDER,"A recent ""pigtorial"" in an Arizona magazine?"
SOWYOURWILDOATS,"Have a reckless fling"
SPACEADVENTURES,"Movies like ""Star Wars,"" e.g."
SPACEAGEBRACKET,"Futuristic tournament schedule?"
SPACECAPSALEANT,"WHITE followers"
SPACEMISSIONARY,"Shuttle evangelist?"
SPACEOFDIAMONDS,"Tiffany showroom?"
SPACEONADOGSLED,"Mush room?"
SPACESATELLITES,"Telecommunications needs"
SPACESPACESPACE,"Text layout specification, literally"
SPACESUITANDTIE,"NASA garb merges with formal wear?"
SPACETECHNOLOGY,"What NASA specializes in"
SPAGHETTIBUCKET,"*Top"
SPAGHETTISQUASH,"Stringy vegetable"
SPAGHETTISTRAPS,"Features of many a prom dress"
SPAGHETTISTRAPS,"Sundress supports"
SPAINPAINSASPIN,"European nation troubles late Defense Secretary"
SPAMEMAILEDITOR,"Person who proofreads subject lines like 'Get Viagra online cheap!'"
SPAMFORGOURMETS,"Blank cookbook?"
SPANGLEDFABRICS,"Flashy costume materials"
SPANGLISHKEYTAR,"Flamenco instrument requiring somewhat Americanized piano fingerings?"
SPANIARDISMERRY,"Zaragoza resident lives it up"
SPANISHAMERICAN,"Like a serape"
SPANISHAMERICAN,"War of 1898"
SPANISHAPPROVAL,"SI"
SPANISHBAYONETS,"Yucca plants"
SPANISHDOUBLOON,"Bit of pirate booty"
SPANISHEXPLORER,"DESOTO"
SPANISHMOSSHART,"Pamplona playwright?"
SPANISHOMELETTE,"Brunch order"
SPANISHOMELETTE,"Diner order"
SPANISHOMELETTE,"Dish with tomato sauce"
SPANISHPRISONER,"1997 Campbell Scott thriller, with 'The'"
SPAREDNOEXPENSE,"Shopped to one's heart's content"
SPAREDNOEXPENSE,"Splurged"
SPAREDNOEXPENSE,"Splurged to the max"
SPAREINTHETRUNK,"Insurance for a kind of breakdown"
SPAREINTHETRUNK,"Tar?"
SPAREMEYOURLIES,"""Puh-lease!"""
SPARENOHEXPENSE,"Economize in staging a Japanese dance-drama?"
SPAREPARTYBOATS,"Surplus of pleasure yachts?"
SPARESOMECHANGE,"Help out a panhandler"
SPARESOMECHANGE,"Panhandler's query"
SPARETHEDETAILS,"Give the short version"
SPARETHEDETAILS,"Not subject someone to a blow-by-blow"
SPARRINGPARTNER,"Puncher"
SPARRINGPARTNER,"Title bout help"
SPEAKERSPRONOUN,"I"
SPEAKEXCATHEDRA,"Dogmatize"
SPEAKHANDSFORME,"Line before ""Et tu, Brute?"""
SPEAKINGFRANKLY,"Talking Turkey"
SPEAKINGFRANKLY,"Talking turkey"
SPEAKINGINTONGS,"Communication via a kitchen utensil?"
SPEAKINGINVOICE,"Bill from an orator?"
SPEAKINGTOOSOON,"Jumping to conclusions"
SPEAKOFFTHECUFF,"Talk extemporaneously"
SPEAKOFFTHECUFF,"Talk without preparation"
SPEAKOFTHEDEVIL,"""And here you are!"""
SPEAKOFTHEDEVIL,"""Here he is now!"""
SPEAKOFTHEDEVIL,"""Look who just showed up!"""
SPEAKOFTHEDEVIL,"""Look who's here!"""
SPEAKOFTHEDEVIL,"""Looky who's here!"""
SPEAKOFTHEDEVIL,"""Mention you and there you are!"""
SPEAKOFTHEDEVIL,"""We were just talking about you"""
SPEAKOFTHEDEVIL,"""Well, look who's here!"""
SPEAKOFTHEDEVIL,"""Well, look who's here"""
SPEAKOFTHEDEVIL,"""Well, looky who just came in!"""
SPEAKOFTHEDEVIL,"'And here he is now!'"
SPEAKOFTHEDEVIL,"Do a preacher's job?"
SPEAKOFTHEDEVIL,"Reaction to a coincidental entrance"
SPEAKSOUTOFTURN,"Says something inappropriate"
SPECIALCLOSEOUT,"Sale sign"
SPECIALDELIVERY,"1976 comedy/action caper with Cybill Shepherd"
SPECIALDELIVERY,"Cesarean?"
SPECIALDELIVERY,"Mailman's cry"
SPECIALDELIVERY,"Post Office rubber stamp"
SPECIALDELIVERY,"Postal option"
SPECIALDELIVERY,"Priority mail service"
SPECIALDELIVERY,"Type of mail service"
SPECIALFEATURES,"DVD menu choice"
SPECIALINTEREST,"Advocacy group's cause"
SPECIALINTEREST,"Lobby"
SPECIALINTEREST,"Lobbying group, e.g."
SPECIALNEWSITEM,"Flash"
SPECIALORDERING,"Requesting customization, perhaps"
SPECIALPULITZER,"Alex Haley, Dr. Seuss, Herb Caen"
SPECIFICGRAVITY,"Relative density"
SPECTACULARFLOP,"Fiasco of a film"
SPECTATORSPORTS,"Auto racing and golf, e.g."
SPECTERCLOUSEAU,"Spooky Peter Sellers character?"
SPECTERHOMESOON,"Mom's Hallow-een comment about daughter"
SPECTRUMSCOLORS,"'Roy G. Biv'"
SPEECHGAGSCREEN,"Three kinds of writers"
SPEECHISTOHAVEA,"Part 2 of quote"
SPEECHLUNCHSOIL,"Three free things"
SPEECHSHOULDSAY,"Quip, part 2"
SPEEDBUMPSAHEAD,"Residential street warning"
SPEEDYDEPARTURE,"FLIGHT"
SPELLBOUNDTOPAZ,"Gem that's not bored?"
SPELLCHECKBOOKS,"Manuals about word processing software features?"
SPELLINAISLETWO,"Announcement at a witch's market?"
SPELLINGANYWORD,"End of quote"
SPELLINGCONTEST,"Bee"
SPELLTHESURNAME,"Part 3 of curiosity"
SPENDXLIKEWATER,"Be careless financially"
SPHEREOFFRIENDS,"1995 Chris O'Donnell/Minnie Driver romance--refilmed in 3-D?"
SPICYMAINCOURSE,"Hot dish"
SPIDERSFROMMARS,"Short-lived David Bowie group of the 1970s"
SPIELOFAPPROVAL,"Vocal endorsement?"
SPIGOTANDPOLISH,"All you need to be a suave bartender?"
SPIKEANGMICHELE,"Three Lees"
SPIKELEETREVINO,"Marvin comes between a film director and golfer?"
SPIKINGTHEPUNCH,"Devious party activity"
SPILIGHTNINGDER,"Flash in the pan, literally"
SPILLEDTHEBEANS,"At surprise dinners the klutz ___"
SPILLEDTHEBEANS,"Blabbed"
SPILLEDTHEBEANS,"Divulged indiscreetly"
SPILLEDTHEBEANS,"Had a big mouth"
SPILLEDTHEBEANS,"Let out a secret"
SPILLEDTHEBEANS,"Revealed privileged information"
SPILLEDTHEBEANS,"Ruined one's coffee break?"
SPILLEDTHEBEANS,"The chuckwagon cook ___"
SPILLEDTHEBEANS,"The farmer ___"
SPILLEDTHEBEANS,"The talkative coffee shop worker..."
SPILLEDTHEBEANS,"Told all"
SPILLSHISCOFFEE,"End of the quip"
SPILLSHOTCOFFEE,"Definition of a UFO? (Part 3)"
SPINACHDULIEBER,"German cry over leafy greens?"
SPINACHOLIVEOIL,"Salad bar offerings"
SPINDLYLOBSTERS,"Lanky crustaceans?"
SPINSONESWHEELS,"Is all motion with no progress"
SPINSONESWHEELS,"Is in motion, but gets nowhere"
SPINSTERDOCTORS,"Physicians who treat unmarried women?"
SPINYCHROMOSOME,"Prickly trait carrier?"
SPIRALSITARCASE,"Decorative piece of George Harrison tour equipment?"
SPIRALSTAIRCASE,"1945 film mystery starring Dorothy McGuire and Ethel Barrymore (with ""The"")"
SPIRALSTAIRCASE,"Another way to get up"
SPIRALSTAIRCASE,"Elegant house feature"
SPIRALSTAIRCASE,"Gothic mansion feature"
SPIRALSTAIRCASE,"Indirect flight"
SPIRALSTAIRCASE,"It gets you up and around"
SPIRALSTAIRCASE,"It turns into a different story"
SPIRALSTAIRCASE,"It winds up"
SPIRALSTAIRCASE,"Lighthouse feature"
SPIRALSTAIRCASE,"Lighthouse feature, often"
SPIRALSTAIRCASE,"Medieval castle feature"
SPIRALSTAIRCASE,"One way to get up and around?"
SPIRALSTAIRCASE,"Part of a duplex apartment, perhaps"
SPIRALSTAIRCASE,"Round-trip flight?"
SPIRALSTAIRCASE,"Space-efficient floor connector"
SPIRALSTAIRCASE,"Space-saving steps?"
SPIRALSTAIRCASE,"Steps in a tight space"
SPIRALSTAIRCASE,"Steps that wind"
SPIRALSTAIRCASE,"Victorian home feature"
SPIRALSTAIRCASE,"Way up, perhaps"
SPIRALSTAIRCASE,"Winding steps"
SPIRECONFIDENCE,"Secret shared in a steeple?"
SPIRITEDGLEEFUL,"... More of a greeting..."
SPIRITOFSTLOUIS,"1957 James Stewart film (with ""The"")"
SPIRITOFSTLOUIS,"1957 Jimmy Stewart film, with ""The"""
SPIRITOFSTLOUIS,"1957 Stewart movie (with ""The"")"
SPIRITOFSTLOUIS,"Craft at the Smithsonian, with ""The"""
SPIRITOFSTLOUIS,"Ghost movie, with ""The""?"
SPIRITOFSTLOUIS,"Jimmy Stewart film (with ""The"")"
SPIRITOFSTLOUIS,"Lindbergh memoir, with ""The"""
SPIRITOFSTLOUIS,"PLANE film (with ""The"")"
SPIRITOFSTLOUIS,"Smithsonian attraction"
SPIRITOFSTLOUIS,"Smithsonian attraction (with ""The"")"
SPIRITREINTRADE,"Three free things"
SPIRITUALLEADER,"*Imam or priest"
SPIRITUALLEADER,"The Dalai Lama, e.g."
SPIRITUALMEDIUM,"Communicator with the dead, supposedly"
SPLINTERFACTION,"CLI Q UE"
SPLINTERPARTIES,"In the end, however, the twig lost the election because a bunch of wood shavings had formed..."
SPLITINFINITIVE,"""To boldly go where no man has gone before,"" e.g."
SPLITINFINITIVE,"""To boldly go"" is an example of one"
SPLITINFINITIVE,"""To boldly go,"" e.g."
SPLITINFINITIVE,"Grammanrian's no-no"
SPLITINFINITIVE,"Grammarian's no-no"
SPLITINFINITIVE,"Grammatical faux pas"
SPLITINFINITIVE,"To quickly solve, for example"
SPLITINFINITIVE,"What ""to boldly go where no man has gone before"" illustrates"
SPLITLEVELHOUSE,"Home with at least two sets of stairs"
SPLITLEVELHOUSE,"Many a suburban home"
SPLITLEVELHOUSE,"Residence where floors are separated by about half a story"
SPLITLEVELRANCH,"Bowler's home?"
SPLITLEVELRANCH,"House with half-stories"
SPLITMARESHAIRS,"Make petty distinctions, to an equine?"
SPLITPEAWITHHAM,"SOUP"
SPLITSECONDMING,"Very precise dynasty of old?"
SPLITSONESSIDES,"Cracks up"
SPLITTHEJACKPOT,"What multiple winners of a lottery must do"
SPLITTHEPROFITS,"Divide earnings equally"
SPLITTHEPROFITS,"Divvy up a windfall"
SPLITTHEPROFITS,"Share proceeds evenly"
SPOKENANDBOILED,"Soft followers"
SPOKEOFFTHECUFF,"Ad-libbed"
SPOKEOFFTHECUFF,"Extemporized"
SPOKEOFFTHECUFF,"Gave an extemporaneous speech"
