AAAADDRESS,"Motorist's org. location"
RODEHERDON,"Watched closely"
RODEOCLOWN,"Performer who distracts bulls"
RODEOCLOWN,"Slim Pickens's job before acting"
RODEOCROWN,"Broncobuster's prize?"
RODEODRIVE,"Barney Leason novel"
RODEODRIVE,"Beverly Hills shopping area"
RODEODRIVE,"California shopping mecca"
RODEODRIVE,"Chic place to shop in Los Angeles"
RODEODRIVE,"Fancy drag"
RODEODRIVE,"Shopper's mecca"
RODEODRIVE,"Well-dressed cowboy's location?"
RODEODRIVE,"Where cowboys shop?"
RODEODRIVE,"Where rich cowboys shop?"
RODEODRIVE,"Where the stars shop"
RODEOORDER,"""Ride 'em, cowboy!,"" e.g.?"
RODEOSHACK,"Broncobuster's shopping stop?"
RODSERLING,"""Night Gallery"" host"
RODSERLING,"""The Twilight Zone"" host"
RODSERLING,"Celebrity born Christmas 1924"
RODSERLING,"Purveyor of eerie tales"
RODSTEIGER,"Al Capone portrayer of 1959"
RODSTEIGER,"Oscar-winning portrayer of Police Chief Bill Gillespie, 1967"
RODSTEIGER,"Star of ""The Pawnbroker"""
RODSTEWART,"""Da Ya Think I'm Sexy?"" singer"
RODSTEWART,"""Rhythm Of My Heart"" singer"
RODSTEWART,"""Rhythm of My Heart"" singer"
RODSTEWART,"1994 inductee into the Rock and Roll Hall of Fame"
RODSTEWART,"His first hit was ""Maggie May"""
RODSTEWART,"Singer with four recent best-selling albums of pop standards"
RODSWATTER,"Singer-exterminator?"
ROGERANDME,"1989 Michael Moore documentary"
ROGERANDME,"Gene Siskel's film?"
ROGERBACON,"""I read you loud and clear, breakfast meat!"""
ROGERBACON,"Doctor Mirabilis"
ROGERBACON,"English philosopher called ""Doctor Mirabilis"""
ROGERCRAIG,"NFC's top receiver, 1985"
ROGEREBERT,"""Life Itself: A Memoir"" autobiographer, 2011"
ROGEREBERT,"Co-host with Richard Roeper"
ROGEREBERT,"Noted Chicago journalist"
ROGEREBERT,"Reviewer born the same day as Paul McCartney"
ROGEREBERT,"Ruler of thumb?"
ROGEREBERT,"Writer on pictures"
ROGERECIRP,"Creator of Droodles who also co-created Mad Libs"
ROGERMARIS,"1960-66 RIGHTFIELDER"
ROGERMARIS,"Home run record holder of the Sixties"
ROGERMARIS,"Mantle teammate"
ROGERMARIS,"Mark McGwire surpassed his record"
ROGERMOORE,"""A View to a Kill"" star"
ROGERMOORE,"""James Bond"""
ROGERMOORE,"*1973-85"
ROGERMOORE,"His Bond never said ""Shaken, not stirred"""
ROGERMUDDY,"Soiled newsman?"
ROGERWILCO,"Good name for a flier?"
ROILEDTAPE,"Disturbed the innards of a video cassette?"
ROLAXWATCH,"Timepiece that's bound to last forever (and it might as well be free with the deal you're getting!)"
ROLEMODELS,"Exemplars"
ROLEMODELS,"Ideals"
ROLEMODELS,"The Yankees' Derek Jeter et al."
ROLEMODELS,"They're often emulated"
ROLEPLAYED,"Was part of a mock trial, say"
ROLEPLAYER,"One who acts the part"
ROLEPLAYER,"Psychotherapy patient, at times"
ROLEXWATCH,"First-rate ticker"
ROLLEDOATS,"Breakfast cereal ingredient"
ROLLEDOATS,"Granola bits"
ROLLEDOVER,"*Did a dog trick"
ROLLEDOVER,"Did a dog trick"
ROLLEDOVER,"Like many an I.R.A."
ROLLEDOVER,"Renewed, in a way"
ROLLEDOVER,"Tipped"
ROLLERBALL,"1975 James Caan movie"
ROLLERBALL,"1975 James Caan sci-fi film"
ROLLERBALL,"Title sport in a 1975 James Caan film"
ROLLERRINK,"One place to spin one's wheels"
ROLLERRINK,"Place to spin, dance and fall"
ROLLERRINK,"Where one can go in circles"
ROLLERRINK,"Where to spin one's wheels"
ROLLERRINK,"Where you'll go in circles"
ROLLERRINK,"Where you'll go round and round"
ROLLERSKIS,"Acme product that doesn't require snow (or brains), making it perfect for certain coyotes, from Lickety Splat, 1961"
ROLLICKING,"Boisterous"
ROLLINGPIN,"Baker's gadget"
ROLLINGPIN,"It lays out the dough"
ROLLINGPIN,"Maggie Jiggs's missile"
ROLLINGPIN,"Mrs. Jiggs's missile"
ROLLINGPIN,"Piecrust shaper"
ROLLINGPIN,"What you might see after a strike?"
ROLLMODELS,"Baker's good examples?"
ROLLMODELS,"Good examples, for the baker?"
ROLLSROYCE,"Big wheel's wheels"
ROLLSROYCE,"Big wheel's wheels, e.g."
ROLLSROYCE,"British luxury car"
ROLLSROYCE,"Car dealer's gift to Mom?"
ROLLSROYCE,"Luxurious ride"
ROLLSROYCE,"Silver Cloud of autodom"
ROLLSROYCE,"Silver Shadow, e.g."
ROLLSROYCE,"Silver Spirit maker"
ROLLSROYCE,"Simple transport?"
ROLLWITHIT,"Steve Winwood hit of 1988"
ROMAINGARY,"Novelist/city slicker?"
ROMANACLEF,"""Primary Colors,"" for one"
ROMANACLEF,"Carrie Fisher's ""Postcards From the Edge,"" e.g."
ROMANACLEF,"Fiction that's thinly veiled reality"
ROMANACLEF,"Novel based on real people"
ROMANBATHS,"Thermae"
ROMANESQUE,"Pre-Gothic style"
ROMANFIFTY,"L"
ROMANFORUM,"Old social center"
ROMANIACAL,"Crazy for Transylvania vampire lore?"
ROMANMANOR,"Italian estate"
ROMANNOSES,"Certain facial features"
ROMANNOSES,"High bridge sites"
ROMANNOSES,"Prominent schnozzes"
ROMANNOSES,"Schnozz varieties"
ROMANNOSES,"They have prominent bridges"
ROMANRUINS,"The Colosseum, Circus Maximus, et al."
ROMANRUINS,"You can see them around the Mediterranean: 2 wds."
ROMATOMATO,"Pasta sauce ingredient"
ROMATOMATO,"Red topping for a white pizza"
ROMPERROOM,"Classic kids' show"
ROMPERROOM,"Where children play"
RONANTYNAN,"Most famous member of the Three Tenors-esque group the Irish Tenors"
RONAPARROT,"All-telling gossip queen who repeats everything she hears?"
RONDARLING,"Former Met pitcher"
RONNIELOTT,"#5 on the all-time interceptions list with 63"
RONSHELTON,"""Bull Durham"" screenwriter"
RONSWANSON,"Fictional parks department director of Pawnee, Indiana"
RONZIEGLER,"Nixon's press secretary"
ROOFGARDEN,"Certain outdoor growing area"
ROOFJINGLE,"Sound heard on Christmas Eve?"
ROOFPILOTS,"Fliers like Snoopy?"
ROOKIECOOP,"Place to meet inexperienced chicks?"
ROOKIECOPS,"They're new to the beat"
ROOKIEYEAR,"1982, for Ripken"
ROOKIEYEAR,"First season"
ROOKIEYEAR,"First season in the NFL"
ROOKSEASON,"When con men get busy?"
ROOMABOARD,"Tenant's desire"
ROOMFORENT,"Sign in a house window, maybe"
ROOMSTOLET,"Boardinghouse sign"
ROOMSTOLET,"Landlord's sign"
ROOMSTOLET,"Wrap that's included with a landlord's sign?"
ROOMTOMOVE,"Asset of first class flying"
ROOSEVELAM,"Structure of central Arizona"
ROOSEVELTS,"Hagedorn's subject"
ROOSTERMAN,"ASTRONOMER oversees a poultry farm?"
ROOTAROUND,"Rummage"
ROOTCANALS,"Dental procedures"
ROOTCAUSES,"Sources"
ROOTCELLAR,"Crop storage spot"
ROOTCELLAR,"Math teacher's favorite storage place?"
ROOTCELLAR,"OTC market for turnip farmers?"
ROOTCELLAR,"Underground crop storage area"
ROOTCELLAR,"Underground storage pit"
ROOTCELLAR,"Vegetable storage area"
ROOTCELLAR,"Vegetable storeroom"
ROPEBRIDGE,"It's high-strung, but hangs loose"
ROPELADDER,"Boarding aid, at times (2-5)"
ROPELADDER,"It might be used for an emergency exit"
ROPELADDER,"Ratline"
ROPEOFSAND,"1949 Burt Lancaster movie"
ROSATRALEE,"Song for artist Bonheur?"
ROSEACACIA,"Shrub also known as bristly locust"
ROSEASTONE,"Discovery which aided in deciphering hieroglyphics"
ROSEBUSHES,"They have many sticking points"
ROSEBUSHES,"Thorny issues?"
ROSECHAFER,"Garden plant pest"
ROSEGARDEN,"""I Never Promised You a ——,"" 1977 movie"
ROSEGARDEN,"Dream world, metaphorically"
ROSEGARDEN,"Much-photographed White House area"
ROSEGARDEN,"Permanent White House staff member?"
ROSEGARDEN,"Place for Pete?"
ROSEGARDEN,"Setting for Tricia Nixon's wedding"
ROSEGARDEN,"Trail Blazers' home court"
ROSEGARDEN,"View from the Oval Office"
ROSEGARDEN,"White House area"
ROSEGARDEN,"White House setting"
ROSEISROSE,"Comic strip about a boy named Pasquale and his family"
ROSEISROSE,"Pat Brady's upbeat comic strip"
ROSELEAVES,"Bouquet greenery"
ROSEMADDER,"1995 Stephen King novel"
ROSEMADDER,"King book"
ROSEMADDER,"Reddish pigment"
ROSEMADDER,"Stephen King book"
ROSEMADDER,"Stephen King book of 1995"
ROSEMADDER,"Stephen King novel"
ROSEMADDER,"Stephen King novel of 1995"
ROSEMALOES,"Resin tree of Asia: Var."
ROSEMATTER,"Attar?"
ROSEMIXING,"Florist's job with a Valentine's Day bouquet?"
ROSENYLUND,"Ditzy Minnesotan character on ""The Golden Girls"""
ROSEPARADE,"Annual spectacle that is never held on Sunday"
ROSEPARADE,"New Year's Day spectacular"
ROSEPARADE,"The 118th annual one will take place on 1/1/2007"
ROSEPERIOD,"Picasso era"
ROSEPETALS,"Composition of a proverbial soft bed"
ROSEPETALS,"Potpourri bits"
ROSEPETALS,"She's a flower girl"
ROSEPETALS,"They may be freeze-dried for weddings"
ROSEPRAYED,"What Mrs. Kennedy did in church?"
ROSEQUARTZ,"Pinkish silicate"
ROSEQUARTZ,"S.D.'s state mineral"
ROSESPEROT,"Billionaire who's always courting the American people?"
ROSESPEROT,"Bouquet billionaire?"
ROSETATTOO,"1955 Magnani film with ""The"""
ROSETINTED,"Optimistic"
ROSEWINDOW,"Circular window filled with tracery"
ROSEWINDOW,"It's circular and decorative"
ROSEYGRIER,"One of the 1960s Rams' Fearsome Foursome"
ROSHHODESH,"Monthly synagogue observance"
ROSIEPEREZ,"Actress who choreographed Fly Girl Jennifer Lopez"
ROSIEPEREZ,"She played a corrupt cop in ""Pineapple Express"""
ROSSELLINI,"""Open City"" director"
ROSSELLINI,"Ingrid's Isabella"
ROSSHUNTER,"High-gloss Hollywood producer"
ROSSMARTIN,"""Wild Wild West"" costar"
ROSSPARROT,"'Sesame Street' animal named after a politician"
ROSSPROFIT,"Perot's surplus?"
ROSTERTAIL,"Set of names that start with ""Z,"" often?"
ROTARYCLUB,"Civic group"
ROTARYCLUB,"Group that upholds the Four-Way Test"
ROTARYCLUB,"Service organization established in 1905"
ROTARYDIAL,"Antique phone part"
ROTARYDIAL,"Feature on some old ringers"
ROTARYDIAL,"Keypad forerunner"
ROTARYDIAL,"Old telephone feature"
ROTHSMUMMY,"Disguised banking house?"
ROTISSERIE,"Internet league"
ROTISSERIE,"It cooks meat to a turn"
ROTISSERIE,"It'll do meat to a turn"
ROTISSERIE,"Revolving spit"
ROTISSERIE,"___ league baseball"
ROTOROOTER,"""And away go troubles..."" company"
ROTOROOTER,"""Away goes trouble down the drain"" company"
ROTOROOTER,"Clog clearer"
ROTOROOTER,"Company that clears clogged drains"
ROTOROOTER,"Old Sunday supplement buff?"
ROTOROOTER,"Popular clog remover"
ROTTENIDEA,"Bad bit of planning"
ROTTENIDEA,"Bad plan"
ROTTENIDEA,"Plan that stinks"
ROTTENLUCK,"Curse of the jinxed"
ROTTENLUCK,"Down-and-out person's problem"
ROTTENLUCK,"Leaving Las Vegas lament"
ROTTENLUCK,"Player's plague"
ROTTENNESS,"D K"
ROTTWEILER,"German guard dog"
ROUGEGASES,"Decomposing makeup emanations? (carved sage grouse)"
ROUGESCARE,"Fear that you'll smear your makeup?"
ROUGHCOUGH,"Hacker's problem"
ROUGHDRAFT,"Early stage of a manuscript"
ROUGHDRAFT,"Early-stage manuscript"
ROUGHDRAFT,"It needs editing"
ROUGHDRAFT,"Sketch"
ROUGHGOING,"Rocky road"
ROUGHGUESS,"Crude conjecture?"
ROUGHGUESS,"Estimate"
ROUGHHOUSE,"Crude place?"
ROUGHHOUSE,"Physical play"
ROUGHHOUSE,"Play in a disorderly manner"
ROUGHHOUSE,"Play rowdily"
ROUGHHOUSE,"Where to buy sandpaper?"
ROUGHNIGHT,"Question asked to one with a hangover"
ROUGHPLAIN,"Cause of a Conestoga wagon being jolted?"
ROUGHRIDER,"""Shaggy! It's a giant arachnid that's apparently been working out!"""
ROUGHRIDER,"BUCK is a..."
ROUGHRIDER,"Harsh jockey?"
ROUGHRIDER,"Hero of 1898"
ROUGHRIDER,"Spanish-American War figure"
ROUGHRIDER,"Teddy Roosevelt was one"
ROUGHRIDER,"Teddy Roosevelt, for one"
ROUGHRIDER,"Teddy Roosevelt, notably"
ROUGHRIDER,"Volunteer cavalry member led by Theodore Roosevelt"
ROUGHROUGH,"Bad place for Couples to be?"
ROUGHROUGH,"PGA Championship staple"
ROUGHROUGH,"Riddle answer"
ROUGHSTUFF,"Horseplay"
ROUGHSTUFF,"Violence"
ROUNDABOUT,"Indirect"
ROUNDABOUT,"See image"
ROUNDABOUT,"TRAFFIC CIRCLE"
ROUNDCHUCK,"Norris or Woolery, after one too many buffets?"
ROUNDDANCE,"Old-time ballroom favorite"
ROUNDDANCE,"Waltz or reel"
ROUNDFLATS,"Domes to let in London?"
ROUNDINGUP,"Gathering together"
ROUNDPLANS,"Circular blueprints?"
ROUNDROBIN,"Alternative to an elimination"
ROUNDROBIN,"Alternative to elimination"
ROUNDROBIN,"Certain tournament"
ROUNDROBIN,"Friendly tournament format"
ROUNDROBIN,"Girl who just likes to eat?"
ROUNDROBIN,"Kind of tournament"
ROUNDROBIN,"Like some tournaments"
ROUNDROBIN,"Obese thrush?"
ROUNDROBIN,"Overweight Williams?"
ROUNDROBIN,"Tournament format"
ROUNDROBIN,"Tournament format used in the World Cup's group stage: 2 wds."
ROUNDROBIN,"Tournament in which you play everyone else at least once"
ROUNDROBIN,"Tournament of sorts"
ROUNDROBIN,"Tournament rotation"
ROUNDROBIN,"Tournament type"
ROUNDROBIN,"Type of tournament"
ROUNDRULES,"""Row, Row, Row Your Boat"" regulations?"
ROUNDRULES,"Guide for numerical approximations?"
ROUNDSPEED,"How fast one can play 18 holes?"
ROUNDSTEAK,"""A ___, rare..."""
ROUNDSTEAK,"""___, rare..."""
ROUNDSTEAK,"Cut of beef"
ROUNDSTEAK,"Lean cut"
ROUNDSTEAK,"Lean cut of beef"
ROUNDTABLE,"Algonquin's literary luncheon club"
ROUNDTABLE,"Camelot fixture"
ROUNDTABLE,"King Arthur's meeting spot"
ROUNDTABLE,"Knight spot"
ROUNDTABLE,"Knights' gathering place"
ROUNDTABLE,"Locale for King Arthur"
ROUNDTABLE,"Merlin's furnishing"
ROUNDWOUND,"Result of stepping on a nail, say"
ROUSTABOUT,"Wharf laborer"
ROUSTABOUT,"Wharf worker"
ROWDYYATES,"""Rawhide"" hero"
ROWDYYATES,"Clint Eastwood's ""Rawhide"" role"
ROXIEROKER,"She played Helen Willis on ""The Jeffersons"""
ROYALCOACH,"Metals company circled by the queen's carriage?"
ROYALCROWN,"Cola brand"
ROYALCROWN,"Cola introduced in 1934"
ROYALFLUSH,"*Sound from a palace bathroom?"
ROYALFLUSH,"Best poker hand"
ROYALFLUSH,"Best possible poker hand"
ROYALFLUSH,"It may occur in a palace bathroom?"
ROYALFLUSH,"Odds against this are 649,739 to 1"
ROYALFLUSH,"Plumber's concern at Buckingham Palace?"
ROYALFLUSH,"Poker lock"
ROYALFLUSH,"Poker player's dream"
ROYALFLUSH,"Poker player's dream hand"
ROYALFLUSH,"Rogers' winning hand?"
ROYALFLUSH,"The nuts, in Texas hold 'em"
ROYALFLUSH,"Winner!"
ROYALGIANT,"Louis XIV, to himself?"
ROYALJELLY,"Bee secretion"
ROYALPAINE,"If a competitor of Coke and Pepsi merged with a major investment firm, they'd be ___"
ROYALSUITE,"Deluxe accommodations"
ROYALVISIT,"Canadian tour in the news"
ROYHORNSBY,"Cowboy and baseball great make a ""Rogers"" sandwich"
ROYORBISON,"""Blue Angel"" singer"
ROYORBISON,"""Oh, Pretty Woman"" singer"
ROYORBISON,"""Running Scared"" singer"
ROYORBISON,"*""Oh, Pretty Woman"" singer"
ROYROMANOW,"Former Saskatchewan premier"
ROYROMANOW,"Recently retired Saskatchewan premier"
RPITEENERS,"Troy coll. frosh?"
RRETRUDEAU,"Dieting Prime Minister"
RRIRICRICE,"""Nixon"" rating; Farrelly Bros. st.; pop musician Ocasek; sushi ingredient"
RRRRRRRRRR,"Domingo and Pavarotti?"
RUBADUBDUB,"Certain nursery rhyme intro"
RUBADUBDUB,"First line of a nursery rhyme"
RUBADUBDUB,"Nursery rhyme intro"
RUBADUBDUB,"Nursery rhyme starter"
RUBADUBDUB,"Start of a nursery rhyme"
RUBALKHALI,"""The Empty Quarter"""
RUBALKHALI,"Ibn Saud took control of it in the 1920s"
RUBBEDITIN,"Said ""nyah, nyah, nyah"""
RUBBERAFTS,"Flotation devices"
RUBBERAFTS,"They need air to float"
RUBBERBALL,"Bobby Vee hit with the line ""I come bouncing back to you"""
RUBBERBAND,"Elastic"
RUBBERBAND,"Elastic holder"
RUBBERBAND,"Group of masseurs?"
RUBBERBAND,"Invention first patented in 1845"
RUBBERBAND,"Masseur group?"
RUBBERBAND,"Stretchable holder"
RUBBERBAND,"Toy-plane power source"
RUBBERBANS,"Restrictions against using galoshes and wet suits?"
RUBBERCHEX,"Awfully chewy cereal?"
RUBBERDUCK,"Bath time companion"
RUBBERGAME,"Series decider"
RUBBERGAME,"Some duck decoys?"
RUBBERMAID,"It doesn't sell inflatable dolls"
RUBBERMAID,"Name on a plastic container"
RUBBERMEAT,"Fake steak?"
RUBBERNECK,"GAPE"
RUBBERNECK,"Masseur's woe?"
RUBBERNECK,"So the monster will gawk"
RUBBERNECK,"Stare"
RUBBERNECK,"Stare at a Swiss mishap?"
RUBBERNECK,"Swiss city visited by a tourist"
RUBBERNECK,"View along the highway (italicized)"
RUBBERSOLE,"Part of an all-weather shoe"
RUBBERSOLE,"Underside of some shoes"
RUBBERSOUL,"1965 Beatles album"
RUBBERSOUL,"Album whose American version opens with ""I've Just Seen a Face"""
RUBBERSOUL,"Beatles album that includes ""Michelle"""
RUBBERSOUL,"Follower of ""Help!"""
RUBBERTIRE,"Lahr's car part?"
RUBBERTREE,"Latex source"
RUBBERTREE,"Plant moved by an ant, in song"
RUBBLERULE,"Ordinance about blasting debris?"
RUBICSCUBE,"Faddish game with six sides"
RUBIKSCUBA,"1980s puzzle fad on an island?"
RUBIKSCUBA,"Where a Hungarian toy inventor vacations in the Caribbean?"
RUBIKSCUBE,"'80s era mind-bender"
RUBIKSCUBE,"'80s puzzle fad"
RUBIKSCUBE,"1980's fad"
RUBIKSCUBE,"Early 80's fad"
RUBIKSCUBE,"Enigmatic toy"
RUBIKSCUBE,"Fad of the 1980s"
RUBIKSCUBE,"It has 43 quintillion configurations"
RUBIKSCUBE,"Mechanical puzzle"
RUBIKSCUBE,"Mental block?"
RUBIKSCUBE,"Object of a bygone rage"
RUBIKSCUBE,"Onetime puzzle fad"
RUBIKSCUBE,"Popular 3D puzzle"
RUBIKSCUBE,"Puzzle fad"
RUBIKSCUBE,"Puzzlemaker's steak order?"
RUBIKSCUBE,"Six-colored puzzle"
RUBIKSCUBE,"Six-faced puzzler"
RUBIKSCUBE,"Six-sided puzzler"
RUBIKSCUBE,"Toy named for the Hungarian engineer who created it"
RUBIKSTUBE,"Puzzle creator's TV?"
RUBSELBOWS,"Socializes, in a way"
RUBYGENTRY,"1952 Jennifer Jones title role"
RUBYKEELER,"""No, No, Nanette"" actress"
RUBYKEELER,"Song-and-dance girl of old films"
RUDEREMARK,"Boorish outburst"
RUDOLPIRKS,"Creator of the Katzenjammer Kids"
RUDYVALLEE,"""STEIN Song"" singer"
RUESCITIES,"Prefers the country?"
RUFFRYDERS,"Group that gave palindromic rapper Eve her start"
RUGBRIGADE,"Toupee-topped troops? (carved budgerigar)"
RUGBYSHIRT,"Warwickshire sportswear?"
RULEDPAPER,"Handwriting helper"
RULEDPAPER,"It may come in pads"
RULEDPAPER,"It's found in pads"
RULEMAKERS,"Governing group"
RUMBAMUSIC,"Mr. X's favorite dance tunes?"
RUMBLEFISH,"1983 Francis Ford Coppola film"
RUMBLEFISH,"Matt Dillon film based on an S. E. Hinton novel"
RUMBLESEAT,"Feature of a 1931 Ford Model A readster"
RUMBLESEAT,"Model A feature"
RUMBLESEAT,"Part of a coupe or roadster, maybe"
RUMBLESEAT,"Rear roadster section"
RUMBLESEAT,"Roadster feature"
RUMBLESEAT,"Roadster feature, maybe"
RUMBLESEAT,"Where to ride in a roadster"
RUMINATING,"Thinking of booze in a can: $1,000 (10)"
RUMORHASIT,"From people in the know..."
RUMORHASIT,"Unnamed source"
RUMORMILLS,"Buzz sources"
RUMORMILLS,"Grapevines, sometimes"
RUMORMILLS,"Sources of buzzes"
RUMORRUMOR,"Gossipy bartender's choices?"
RUMPROASTS,"Beef cuts"
RUMPROASTS,"Bottom round dishes"
RUMPROASTS,"Entrees sometimes prepared in crockpots"
RUMPROASTS,"Some beef cuts"
RUMPSHAKER,"1992 #2 hit by Wreckx-n-Effect"
RUMPUSROOM,"Where kids play"
RUMRUNNING,"Business that ended with the 21st Amendment"
RUMRUNNING,"Going for pina coladas?"
RUMRUNNING,"Prohibition Era activity"
RUNAGROUND,"Race on earth?"
RUNAROUNDS,"Delaying tactics"
RUNINPLACE,"Use a treadmill"
RUNINPLACE,"Work out on a treadmill"
RUNLIKEMAD,"Dash"
RUNLIKEMAD,"Turn tail"
RUNNINGGAG,"Humor that never seems to get old"
RUNNINGGAG,"Joke that gets funnier with repetition"
RUNNINGGAG,"Oft-repeated joke"
RUNNINGGAG,"Speech suppressor on the go?"
RUNNINGJOE,"Scrambling Namath, literally?"
RUNNINGJOE,"Scrambling Namath?"
RUNNINGMAN,"1987 Schwarzenegger film, with ""The"""
RUNNINGRIO,"Governing a Brazilian city?"
RUNNINGTAB,"Bar account"
RUNONEMPTY,"Battle fatigue?"
RUNONFUMES,"Lose energy"
RUNSACROSS,"What this answer does?"
RUNSACROSS,"What this entry does in the grid"
RUNSAROUND,"Socializes (with)"
RUNSATABOO,"*Publishes something forbidden?"
RUNSSCARED,"Chickens out"
RUNSTOSEED,"Goes downhill"
RUNSUPATAB,"Buys drinks on credit, e.g."
RUNTHESHOW,"Be bossy"
RUNTHESHOW,"Direct everyone"
RUNTHESHOW,"HEAD"
RUNTHESHOW,"Make all decisions"
RUNTHROUGH,"Rehearsal"
RUNTHROUGH,"Rehearse quickly"
RURALAREAS,"They're not built-up"
RURALROUTE,"Part of a country address"
RURALROUTE,"Part of an address"
RURALROUTE,"Suburban mail itinerary"
RURITANIAN,"Of a comic opera location"
RUSHDINNER,"Hurry through a meal?"
RUSHEDBELT,"Shot of whiskey downed in a hurry?"
RUSHFACTOR,"Element of ambulance driving?"
RUSHHONOUR,"Acceptance into an Oxford fraternity?"
RUSHINGOUT,"Publishing quickly, say"
RUSHORDERS,"Last-minute purchases, perhaps"
RUSLEEPING,"Question for Brother John"
RUSSIANMOB,"Certain Grand Theft Auto antagonists (broken in two places)"
RUSSIANSUB,"Sandwich served in ""The Hunt for Red October""? (7,3)"
RUSTBUCKET,"Demolition derby entry, perhaps"
RUSTBUCKET,"Dilapidated craft"
RUSTBUCKET,"Dilapidated ship"
RUSTBUCKET,"Old, deteriorated ship"
RUSTBUCKET,"Vile vessel"
RUSTBUSTER,"Antioxidant?"
RUSTWORTHY,"Coated so as to promote oxidation?"
RUSTYBROWN,"Earthy color"
RUSTYNAILS,"Mixed drinks"
RUSTYNAILS,"Scotch and Drambuie drinks"
RUSTYNAILS,"Stepping on them can lead to tetanus shots"
RUSTYSTAUB,"He played in 2,951 ML baseball games"
RUTHGORDON,"George Segal's 'Where's Poppa?' co-star"
RUTHLESSLY,"""I ditched the sex expert,"" Tom said ___"
RUTHSCHRIS,"Popular steak restaurant chain"
RVHMFRGHES,"Goldie flick ""Swingshift"" in code"
RYANHOWARD,"2006 N.L. MVP"
RYANSTILES,"SIR STANLEY, transformed"
RYDELLHIGH,"""Grease"" setting"
RYDERCUPID,"God who unites rental trucks?"
RYDERDRYER,"Item in a transportation company's laundry room?"
RYDERRIDER,"Passenger in a rental truck?"
RYEEXTRACT,"Grain byproduct used in alternative medicines"
RYEWHISKEY,"Potent spirits"
RYEWHISKEY,"Saloon offering"
SABERBEARS,"Dueling animals?"
SABERDANCE,"Khachaturian composition"
SABERTOOTH,"Cenozoic big cat"
SABERTOOTH,"Feline with large canines"
SABERTOOTH,"Once-fearsome extinct cat"
SABLECOATS,"Pricey furs"
SABRETOOTH,"Wolverine's adversary"
SACAGAWEAD,"It first circulated in January 2000"
SACCHARINE,"Mawkish"
SACCHARINE,"Overly sentimental"
SACERDOTAL,"Priestly"
SACHARIPOV,"Russian consumer advocate?"
SACKOFLAMB,"Meat dish for people in a hurry?"
SACRAMENTO,"California capital"
SACRAMENTO,"Western terminus of the pony express"
SACREDCALF,"One above criticism, to a baby?"
SACREDCHOW,"Dinner at the parsonage?"
SACREDCHOW,"Hallowed food at the mess hall?"
SACREDCHOW,"Holy mess?"
SACREDCOWS,"Certain untouchables"
SACREDCOWS,"Institutions that elected officials shouldn't criticize"
SACREDCOWS,"Objects of deference"
SACREDCOWS,"They are beyond reproach"
SACREDCROW,"Holy blackbird?"
SACREDSCOW,"Vessel worthy of worship?"
SACRIFICED,"Acted unselfishly"
SACRIFICED,"Gave up"
SACRIFICES,"Sells at a loss"
SACRISTIES,"Church storage areas"
SACROILIAC,"Joint at the base of the spine"
SACROILIAC,"Strong pelvic joint"
SACROSANCT,"Beyond criticism"
SADAHARUOH,"North-central city that follows Japanese baseball?"
SADAHARUOH,"The Babe Ruth of Japan"
SADBUTTRUE,"Awfully accurate?"
SADCYPRESS,"Christie title from ""Twelfth Night"""
SADDLESHOE,"Two-tone oxford"
SADDLESLEW,"Cowboy's favorite Triple Crown winner?"
SADDLESOAP,"It was never intended to be a leather cleaner"
SADDLESOAP,"Leather cleaner"
SADDLESORE,"Dude ranch problem"
SADDLESORE,"Dude ranch woe"
SADDLESORE,"Equestrian affliction"
SADDLESORE,"Jockey's woe"
SADDLETHOR,"Horse rider's chafing, to a Norse god?"
SADGENERAL,"Lee at Appomattox, e.g.?"
SADGENERAL,"Lee at Appomattox?"
SADHEARTED,"Long-faced"
SAEHRIMNIR,"Bountiful boar of Valhalla"
SAFARIPARK,"Zoo alternative"
SAFEATHOME,"Mantle/Maris film"
SAFEBASKET,"Well-guarded picnic container?"
SAFEHARBOR,"*Refuge"
SAFEHARBOR,"Refuge"
SAFEHOUSES,"Need of our heres"""
SAFERETURN,"Uneventful flight back, e.g."
SAFETYBELT,"Driver's protector"
SAFETYBELT,"Protective device"
SAFETYBELT,"Travel security"
SAFETYBELT,"Traveler's check"
SAFETYNETS,"Fall breakers"
SAFETYRAIL,"Toddler's bed attachment"
SAFETYVEST,"Firefighter's protective gear"
SAGEADVICE,"It's worth listening to"
SAGEADVICE,"Sensible recommendation"
SAGEADVICE,"Wise counsel"
SAGEADVICE,"Word from the wise"
SAGEADVICE,"Word to the wise"
SAGEADVICE,"Words of wisdom"
SAGEADVICE,"Words to heed"
SAGEFRIGHT,"Green phobia?"
SAGEGREENE,"""Just call me ___"" said Graham, the guru"
SAGEGROUSE,"Chickenlike bird of western North America"
SAGELANDER,"One dispatching wise guys to the moon?"
SAGELEAVES,"Saltimbocca toppers"
SAIDJULIET,"Ad: Part 1"
SAIDTHEZEN,"Start of a quip"
SAILEDINTO,"Attacked verbally"
SAILEDINTO,"Bawled out"
SAILNEEDLE,"Tool for sewing canvas"
SAILORFLOP,"Annapolis washout?"
SAILORFLOP,"NAVAL FAILURE"
SAILORSUIT,"Boy's outfit with bell-bottom trousers"
SAILSTACKS,"Schooner travel expenses?"
SAILUPWIND,"BEAT"
SAINTCROIX,"Island discovered by Columbus"
