AAAMILNE,"Children's author and roadside helper?"
PUMPITUP,"Gym trainer's catchphrase"
PUNCHERS,"Pugilists... or stationery store items"
PUNCHERS,"Stationery store items (with ""hole"")"
PUNCHOUT,"Clobber"
PUNCHOUT,"Stop working"
PUNCTUAL,"On the dot"
PUNCTURE,"Brit's flat"
PUNCTURE,"Flat cause, perhaps"
PUNCTURE,"Tire mishap"
PUNDITIC,"Judging in a critical manner"
PUNDITRY,"Gurus' opinions"
PUNISHED,"Castigated"
PUNISHED,"Chastised"
PUNISHED,"Gave what for"
PUNISHER,"Spanker, e.g."
PUNISHER,"Vigilante, maybe"
PUNISHES,"Disciplines"
PUNITIVE,"Castigatory"
PUNITIVE,"Inflicting discipline"
PUNITIVE,"Kind of damages, in law"
PUNITIVE,"Like some damages"
PUNKMART,"Where to buy green hair dye and body chains?"
PUNKROCK,"'70s-'80s music genre"
PUNNEDIT,"What the puzzlemaker did to the name in each of this puzzle's theme answers?"
PUNNYCAT,"Hipster who's a quipster?"
PUPPETRY,"Art of manipulation?"
PUPPYDOM,"Doggies, collectively"
PUPPYFAT,"Teen dieter's target, perhaps"
PUPTENTS,"Bivouac sights"
PUPTENTS,"Soldiers pitch them"
PUPTENTS,"They're pitched on bivouac"
PURCHASE,"Acquisition"
PURCHASE,"Buy"
PURCHASE,"You might get a charge out of it"
PUREBRED,"Pricey horse"
PUREGOLD,"Without extraneous matter"
PURIFIED,"Cleansed"
PURITANS,"People who no what they like?"
PURITANS,"Pious ones"
PURITANS,"Protestant sect members"
PURITANS,"Roundheads"
PURITANS,"Strict religious disciplinarians who were among the Pilgrim population"
PURLOINS,"Makes off with"
PURLOINS,"Steals"
PURLOINS,"Takes the wrong way"
PURPLING,"Bruise discoloration"
PURPOSES,"Missions"
PURPOSES,"Reasons"
PURPOSES,"They may be cross"
PURPOSES,"Uses"
PURSEFUL,"Loaded handbag"
PURSLANE,"Portulaca plant in salads"
PURSUANT,"Contract word"
PURSUANT,"Following (with 'to')"
PURSUANT,"Following, with ""to"""
PURSUITS,"Pastimes"
PUSHCART,"Lemonade stand vehicle"
PUSHDOWN,"Depress"
PUSHEDON,"Acted the matchmaker, to a fault"
PUSHEDON,"Persevered"
PUSHEDON,"Proceeded"
PUSHESON,"Presses forward"
PUSHIEST,"Most insistent"
PUSHINTO,"Browbeat"
PUSHOVER,"Easily beatable opponent"
PUSHOVER,"Easily defeated type"
PUSHOVER,"Easy mark"
PUSHOVER,"Easy target for a slick salesman"
PUSHOVER,"No tough opponent"
PUSHPINS,"Bulletin board items"
PUSHPINS,"Items stuck in bulletin boards"
PUSHPINS,"Thumbtacks' cousins"
PUSHPULL,"Kind of toy"
PUSSYCAT,"""What's New, ___?"""
PUSSYCAT,"""What's New___?"" 1965 film"
PUSSYCAT,"Feline in a Tom Jones song"
PUSSYCAT,"Hardly an intimidating soul"
PUSSYCAT,"No real threat"
PUSSYCAT,"Pet feline"
PUSSYCAT,"Unthreatening sort"
PUSTULAR,"Of skin eruptions"
PUTASIDE,"Save"
PUTASIDE,"Save for later"
PUTASIDE,"Store up"
PUTASIDE,"Table"
PUTATIVE,"Commonly accepted as such"
PUTATIVE,"Presumed"
PUTATIVE,"Supposed"
PUTDOWNS,"Belittling remarks"
PUTDOWNS,"Disparaging remarks"
PUTFORTH,"Present"
PUTFORTH,"Propose"
PUTINPUT,"Add one's two cents worth?"
PUTONICE,"Chill for a while"
PUTONICE,"Chilled"
PUTONICE,"Like soon-to-be-opened champagne"
PUTONICE,"Shelve for a while"
PUTONICE,"Table"
PUTOUTOF,"Not renew a lease, perhaps"
PUTSAWAY,"Saves"
PUTSDOWN,"Disses"
PUTSINTO,"___ words (verbalizes)"
PUTSOVER,"Delays"
PUTTERED,"Occupied oneself casually"
PUTTERON,"Instigator"
PUTTINGG,"Where to watch the birdie?"
PUTTOBED,"Finalize for printing, as a newspaper"
PUTTOBED,"Finish"
PUTTOBED,"Finished dealing with"
PUTTOBED,"Finished, in a way"
PUTTOBED,"Send to press"
PUTTOSEA,"Go out on the ocean"
PUTTOSEA,"Leave the port"
PUTTOSEA,"Set sail"
PUTTOUSE,"Get something out of"
PUTUPJOB,"Attempt to trick"
PUTUPJOB,"Bit of skulduggery"
PUTUPJOB,"Con"
PUTUPJOB,"Craftily-plotted deed"
PUTUPJOB,"False accusation"
PUTUPJOB,"False charge"
PUTUPJOB,"Scam"
PWERATES,"Cooperative Pittsburgh club?"
PYGMYISH,"Like Gen. Tom Thumb"
PYRAMIDS,"Gets bigger and bigger"
PYRAMIDS,"Giza attractions"
PYRAMIDS,"Increases rapidly"
PYRAMIDS,"Saqqara attractions"
PYRAMIDS,"Some royal tombs"
PYRAMIDS,"Tourist attractions in Egypt"
PYRENEES,"Andorra's locale"
PYRENEES,"Mmes./Sras. separators"
PYRENEES,"Range between Spain and France"
PYROXENE,"Mineral found in igneous rocks"
PYTHORAS,"""The Father of Numbers"""
QANDNOTU,"... QATAR AIRWAYS, DJ QBERT, and IRAQ WAR"
QBILLION,"1/24/2007 Powerball jackpot, roughly"
QBRATING,"Sports metric where a perfect score is 158.3"
QBSNEAKS,"Plays after some snaps, in brief"
QPOUNDER,"Popular burger"
QUAALUDE,"Brand name of a drug whose sale was made illegal in the U.S. in 1982"
QUAALUDE,"It's a downer"
QUACKERY,"Charlatan's doings"
QUACKERY,"Charlatan's work"
QUACKERY,"Charlatanism"
QUACKERY,"Penis enlargement products, e.g."
QUACKING,"Duck chorus"
QUADBIKE,"Certain ATV"
QUADRANT,"90-degree arc"
QUADRANT,"Moon or horoscope division"
QUADRANT,"One of four areas"
QUADRANT,"One-fourth of a circle"
QUAGMIRE,"Sticky situation"
QUAILING,"Cowering in fear"
QUAINTLY,"In an old-fashioned way"
QUAINTLY,"With old-fashioned charm"
QUAKEDAT,"Showed fear toward"
QUALMISH,"Beset by butterflies"
QUALMISH,"Somewhat uneasy"
QUANDARY,"Bind"
QUANDARY,"Dilemma"
QUANDARY,"Fix"
QUANDARY,"Pickle"
QUANDARY,"Predicament"
QUANDARY,"Puzzlement"
QUANTADS,"Employment notices for financial analysts?"
QUANTITY,"Amount"
QUARRELS,"Angry disputes"
QUARRELS,"Has a heated exchange"
QUARRELS,"Heated exchanges"
QUARRELS,"Rows"
QUARRELS,"Spats"
QUARRELS,"Squabbles"
QUARRIED,"Dug from a pit"
QUARRIER,"Stone cutter"
QUARTERS,"General in charge of housing?"
QUARTERS,"Living space"
QUARTETS,"Boyz II Men and others"
QUARTETS,"Foursomes"
QUARTETS,"Pieces of eight?"
QUARTETS,"Sets of four"
QUARTETS,"The Beatles et al."
QUARTILE,"Fourth, in statistics"
QUARTILE,"Statistical boundary"
QUARTILE,"Statistical boundary value"
QUARTILE,"Statistical dividing point in a four-group data set"
QUARTILE,"Statistical grouping"
QUARTZES,"Agate and jasper"
QUARTZES,"Amethyst and onyx"
QUATRAIN,"Four-line stanza"
QUATRAIN,"Four-line verse"
QUATRAIN,"Poet Omar's transport?"
QUATRAIN,"Short poem"
QUATRAIN,"Short stanza"
QUATTROS,"Some Audi models"
QUAVERER,"Very scared person, perhaps"
QUEASIER,"More upset"
QUEASILY,"How a stomach might react to strange food"
QUEBECER,"Many a Canadian francophone"
QUEBECER,"Rue Notre Dame resident"
QUEENBEE,"Colonial leader"
QUEENBEE,"Head of a hive"
QUEENBEE,"Insect with an unbarbed stinger"
QUEENBEE,"She has lots of workers"
QUEENBEE,"She's much buzzed about"
QUEENBEE,"Skep mama?"
QUEENMAB,"She ""gallops o'er a courtier's nose,"" in Shakespeare"
QUEENMAB,"Shelley poem"
QUEENMAB,"Shelley's first large work"
QUEENMAB,"Subject of a Mercutio monologue"
QUEENMUM,"King George VI's widow, familiarly"
QUEENMUM,"Noted centenarian of 2000, familiarly"
QUEENMUM,"ROYALTY"
QUEENMUM,"The late Elizabeth Bowes-Lyon, familiarly"
QUEEQUEG,"""Pequod"" harpooner"
QUEEQUEG,"Fictional harpooneer"
QUEEQUEG,"Pequod crew member"
QUEEREST,"Most flamboyant, say"
QUEEREST,"Most odd"
QUEEREYE,"Makeover series, briefly"
QUEEREYE,"Popular Bravo series, informally"
QUEEREYE,"Reality show that featured the Fab Five"
QUEEREYE,"Show with the ""Fab Five"""
QUEEREYE,"The Fab Five's show, to fans"
QUEERING,"Ruining, as a deal"
QUEERNOO,"Unnamed activist in the credits of ""Milk""?"
QUENCHED,"Satisfied, as a thirst"
QUENCHED,"Satisfied, as thirst"
QUENCHER,"Gatorade, e.g."
QUENELLE,"Seasoned dumpling of meat or fish"
QUERIERS,"They want to know"
QUERIERS,"They're asking a lot"
QUERISTS,"They seek answers"
QUERYING,"Proposing an idea to, as an editor"
QUESTCON,"Knights' expo?"
QUESTERS,"Arthur's knights, e.g."
QUESTION,"Do some grilling?"
QUESTION,"Doubt"
QUESTION,"Grill"
QUESTION,"Part of the ""96 Tears"" band's name"
QUESTION,"You could pop one when kneeling"
QUEUEDUP,"In a row"
QUEUETIP,"End of the line?"
QUIBBLED,"Equivocated"
QUIBBLED,"Nitpicked"
QUIBBLES,"Minor objections"
QUIBBLES,"Nitpicking"
QUIBBLES,"Raises trivial objections"
QUIBERON,"Peninsula, on W. coast of France."
QUICKEST,"Most snappy"
QUICKFIX,"Band-aid"
QUICKFIX,"Finger in the dike, e.g."
QUICKFIX,"Makeshift"
QUICKFIX,"Short-term solution"
QUICKIES,"Afternooners, maybe"
QUICKJOB,"Hack"
QUICKONE,"Short snort"
QUICKSET,"Hawthorn hedge, to a Brit"
QUICKSET,"Hawthorne hedge"
QUIDDITY,"Trifling point"
QUIDNUNC,"Busybody"
QUIDNUNC,"Gossip"
QUIDNUNC,"One who'd like to know more"
QUIETING,"Being a stereotypical librarian"
QUIETING,"Putting to rest"
QUIETISM,"Religious mysticism"
QUIETMAN,"John Ford classic starring John Wayne (with ""The"")"
QUIETUDE,"Rest"
QUIETUDE,"Tranquil state"
QUIETUDE,"Tranquility"
QUILTERS,"Bee workers"
QUILTING,"Bee activity"
QUINCYME,"Jack Klugman's autobiography?"
QUINDARO,"Underground Railroad stop"
QUINELLA,"Alternative to an exacta"
QUINELLA,"Gambling bet that picks the top two finishers in a race"
QUINELLA,"Track betting option"
QUININES,"Cinchona bark products used to treat malaria"
QUIPLASH,"Violent response to a wisecrack?"
QUIPSTER,"Funny guy"
QUIPSTER,"One who's fast with a one-liner"
QUIPSTER,"Wag"
QUIPSTER,"Wit"
QUIPSTER,"Wit, often"
QUIRETAP,"Source of Liquid Paper?"
QUIRKILY,"In a charmingly odd way"
QUIRKILY,"In an odd way"
QUISLING,"Traitor"
QUISLING,"Turncoat"
QUITBING,"Switch to Google?"
QUITCOLD,"Stop dramatically, as smoking"
QUITCOLD,"Stop immediately"
QUITCOLD,"Stop suddenly"
QUITTERS,"Defeatists"
QUITTERS,"Deserters"
QUITTERS,"Poor sports, perhaps"
QUITTERS,"They don't persevere"
QUITTERS,"They never win, it's said"
QUITTHAT,"""Can it!"""
QUITTHAT,"""Cut it out!"""
QUIVERED,"Shook"
QUIVERED,"Showed fear, maybe"
QUIVERER,"One who trembles"
QUIVERER,"Shaker"
QUIXOTIC,"Fanciful"
QUIXOTIC,"Foolishly impractical"
QUIXOTIC,"Gallant but futile"
QUIXOTIC,"Hardly practical"
QUIXOTIC,"Impractical"
QUIXOTIC,"Not at all practical"
QUIXOTIC,"Starry-eyed"
QUIXOTIC,"Visionary"
QUIZKIDS,"'40s game-show group"
QUIZKIDS,"Game show of the '50s"
QUIZKIDS,"Radio game show with a panel of gifted children"
QUIZSHOW,"""The $64,000 Question,"" e.g."
QUIZSHOW,"'50s TV scandal genre"
QUIZSHOW,"1994 Best Picture nominee"
QUIZSHOW,"It has valuable questions"
QUIZSHOW,"This could have been fixed"
QUODAVIS,"Historical novel about the Confederacy?"
QUODAVIS,"Latin for ""Sammy who""?"
QUODERAT,"Part of Q.E.D."
QUOTABLE,"Like Yogi Berra"
QUOTABLE,"Like clever quips"
QUOTABLE,"Worthy of being repeated"
QUOTIENT,"Division answer"
QUOTIENT,"Division result"
QUOTIENT,"Math term"
QUOTIENT,"Result of division"
QUOVADIS,"1951 Best Picture nominee"
QUOVADIS,"1951 Roman epic"
QUOVADIS,"Best-selling novel set in ancient Rome"
QUOVADIS,"Novel set in Nero's time"
QUOVADIS,"Religious film hit of 1951"
QWIKSTER,"Doomed Netflix offshoot on CNET's ""20 Worst-Named Tech Products"""
RABBITRY,"Hare house"
RABELAIS,"""Gargantua and Pantagruel"" author"
RABELAIS,"Author of ""Gargantua"""
RABELAIS,"Author who used the pseudonym 'Alcofribas Nasier,' an anagram of his full name"
RABELAIS,"Creator of Gargantua and Pantagruel"
RABELAIS,"French satirist who created Gargantua"
RABELAIS,"Gargantua's creator"
RABELAIS,"Pantagruel creator"
RACCOONS,"Bushy-tailed scavengers"
RACCOONS,"Garbage-marauding critters"
RACCOONS,"Kinkajou relatives"
RACCOONS,"Masked creatures"
RACCOONS,"Masked invaders"
RACCOONS,"Masked mammals"
RACCOONS,"Masked raiders"
RACCOONS,"Masked scavengers"
RACCOONS,"Ralph Kramden's lodge brothers"
RACECARS,"500 vehicles"
RACECARS,"Competition vehicles (4,4)"
RACECARS,"Formula 1 entrants"
RACECARS,"Indy 500 vehicles"
RACECARS,"Ones on a circuit"
RACECARS,"They do laps"
RACECARS,"They run lap after lap"
RACECARS,"They're built for speed"
RACECARS,"They're often in the pits"
RACEDOFF,"In a tournament, arranged for replacement of lower-denomination chips*"
RACEGOER,"One seen at trackside"
RACERIOT,"""Do the Right Thing"" event"
RACERIOT,"Occasion for tear gas, maybe"
RACERIOT,"Unrest that may occur after an act of police brutality"
RACETIME,"What's anticipated by people playing the ponies"
RACEWARS,"What the Manson family murders were intended to usher in"
RACEWAYS,"Drag venues"
RACEWAYS,"Harness tracks"
RACEWAYS,"Indy and Daytona"
RACEWAYS,"Pocono and others"
RACEWEEK,"Time for stakes and handicaps"
RACHITIS,"Another name for rickets"
RACINESS,"A naughty quality"
RACINESS,"Characteristic of some raunchy humor"
RACINESS,"Ribaldry"
RACINESS,"Risqué quality in caress"
RACKEDUP,"Accumulated"
RACKEDUP,"Amassed"
RACKEDUP,"Organized the pool balls"
RACKETER,"Tennis player"
RACQUETS,"Court game"
RACQUETS,"Squash relative"
RADARGUN,"High-speed measurer"
RADARGUN,"It answers the question ""Do you know how fast you were going?"""
RADARGUN,"It may be pointed at a moving vehicle"
RADARGUN,"Speed gauge"
RADARGUN,"Speed reader?"
RADARGUN,"Speed trap device"
RADARGUN,"Speed trap tool"
RADARGUN,"Traffic cop's device"
RADARGUN,"Traffic cop's weapon (5,3)"
RADARGUN,"Trooper's device"
RADARMAN,"Control tower figure"
RADARMAN,"Control tower worker"
RADARMAN,"Detection equipment operator"
RADIALLY,"How spokes go"
RADIANCE,"Cheerful brightness"
RADIANCE,"Glow"
RADIANCE,"Light"
RADIANCE,"Shine"
RADIANCE,"Splendor"
RADIANCE,"Warm, cheerful brightness"
RADIANCE,"Warmth"
RADIANCY,"Gleam"
RADIANTS,"Points from which light emanates"
RADIATED,"Projected cheerfulness"
RADIATES,"Branches out"
RADIATES,"Branches out from a center."
RADIATES,"Gives off, as heat"
RADIATES,"Projects"
RADIATES,"Projects, in a good way"
RADIATOR,"Car part"
RADIATOR,"Coil site"
RADIATOR,"Coolant container"
RADIATOR,"Engine adjunct"
RADIATOR,"Engine component"
RADIATOR,"Fireplace alternative"
RADIATOR,"Heat source"
RADIATOR,"Heater"
RADIATOR,"Heating device"
RADIATOR,"Hisser, at times"
RADIATOR,"Home heating unit"
RADIATOR,"It needs to be flushed occasionally"
RADIATOR,"Steam source"
RADICALS,"Extreme group"
RADICALS,"Extremists"
RADICALS,"Reaction-prone atoms"
RADICALS,"Square-root signs"
RADIOADS,"Spots that aren't seen"
RADIOCAR,"Cruiser"
RADIOCAR,"Police cruiser"
RADIOERA,"Late 1920s to around 1950"
RADIOERA,"Listening time?"
RADIOERA,"The 30's and 40's, e.g."
RADIOERA,"Time before TV"
RADIOERA,"Time before television"
RADIOERA,"Time of much listening"
RADIOERA,"Wave of waves?"
RADIOING,"C.B. activity"
RADIOING,"Sending an S O S, maybe"
RADIOMAN,"CB user on main road"
RADIOMAN,"Communications technician of sorts"
RADIOMAN,"Sparks' job on ship"
RADIOMEN,"CB-ers?"
RADIOMEN,"Headphone wearers"
RADIOMEN,"Naval communications techs"
RADIOONE,"CBC channel"
RADIOONE,"CBC station"
RADIOSET,"Communications collectible"
RADIOSET,"Ham's equipment"
RADIOSET,"Ham's rig"
RADISHES,"Crunchy root vegetables"
RADISHES,"Pungent salad veggies"
RADISSON,"Big name in hotels"
RADISSON,"Hotel chain"
RADISSON,"Place to stay, for awhile"
RADISSON,"Ramada rival"
RADIUSES,"Arm bones"
RADIUSES,"Circle segments"
RADIUSES,"Circle segments (Var.)"
RADIUSES,"Geometric lines"
RADIUSES,"Some geometry class lines"
RADIUSES,"Sphere measures"
RADIUSES,"Spokes, e.g."
RADONGAS,"Household hazard"
RAFFLERS,"Give-away emcees"
RAFFLING,"Disposing of at a church fair, maybe"
RAFTBEER,"Heyerdahl's favorite potable?"
RAFTERED,"Held up by beams"
RAFTSMAN,"Tom Sawyer was one"
RAFTSMEN,"River travelers"
RAGDOLLS,"Certain Ann and her ilk"
RAGINGLY,"How battles may progress"
RAGINGLY,"With anger"
RAGPAPER,"High-quality stationery"
RAGPAPER,"High-quality writing medium"
RAGPAPER,"Linen pulp product"
RAGRACER,"Heckle a driver?"
RAGTRADE,"Fashion biz"
RAGTRADE,"Fashion industry's mania about Western tapered pleat (3,5)"
RAGTRADE,"Fashion industry, slangily"
RAGTRADE,"The garment industry"
RAGTRADE,"The garment industry, slangily"
RAGTRADE,"he clothing biz"
RAGUDOLL,"Cuddly pasta sauce freebie?"
RAGWEEDS,"Common pollen producers"
RAGWEEDS,"Hay fever causes"
RAGWEEDS,"Nature's nose annoyers"
RAGWEEDS,"Sneeze causers, for some"
RAGWEEDS,"Sneezing causes"
RAGWEEDS,"Troublesome plants"
RAILBIRD,"Crake"
RAILBIRD,"Front-row racing fan"
RAILBIRD,"Racetrack habitué"
RAILBIRD,"Track figure"
RAILCARS,"Locomotive's load"
RAILEDAT,"Scolded harshly"
RAILEDAT,"Went off on"
RAILHEAD,"Darjeeling dresses"
RAILINGS,"Balustrades"
RAILINGS,"Barriers"
RAILINGS,"Stair steadiers"
RAILINGS,"Supports for stair climbers"
RAILINGS,"They may prevent you from getting bumped off a flight"
RAILLERY,"Banter"
RAILROAD,"Brakeman's employer"
RAILROAD,"Brook no delay"
RAILROAD,"Convict falsely and quickly"
RAILROAD,"Convict one too quickly"
RAILROAD,"Convict unfairly"
RAILROAD,"Dragoon"
RAILROAD,"Monopoly property"
RAILROAD,"One of a Monopoly foursome"
RAILROAD,"Push a bill through abruptly"
RAILROAD,"Reading, e.g."
RAILROAD,"Steamroller"
RAILROAD,"The Trans-Siberian, for one"
RAILROAD,"Transcontinental ___ (transportation system completed in 1869)"
RAILROAD,"___ crossing"
RAILTHIN,"Bony"
RAILWAYS,"Things people are trained in?"
RAILWAYS,"Train systems"
RAILYARD,"Rolling stock holder"
RAILYARD,"Roundhouse site"
RAILYARD,"Roundhouse spot"
RAILYARD,"Train storage area"
RAILYARD,"Work area with parked cars"
RAIMENTS,"Clothing"
RAIMONDI,"Basso Ruggero ___"
RAINBOOT,"Ankle-high overshoe"
RAINBOWS,"Colorful arcs"
RAINBOWS,"Colors in the mists"
RAINBOWS,"Post-storm effects"
RAINBOWS,"Post-storm phenomena"
RAINBOWS,"Some people chase them"
RAINBOWS,"They appear in the sky when the weather is both misty and sunny"
RAINCOAT,"Foul-weather wear"
RAINCOAT,"Macintosh"
RAINCOAT,"Pursuer's protector"
RAINCOAT,"Shower apparel"
RAINCOAT,"Waterproof: England::___:U.S."
RAINCOAT,"Wet weather wear"
RAINCOAT,"Wet-weather outerwear"
RAINCOAT,"Wet-weather wear"
RAINDATE,"Bad-weather contingency"
RAINDATE,"Bad-weather contingency plan"
RAINDATE,"Event planner's contingency"
RAINDATE,"Event-planner's backup time"
RAINDATE,"Inclement-weather provision, in a schedule"
RAINDATE,"Outdoor event provision"
RAINDATE,"Plan B"
RAINDATE,"Plan B time"
RAINDATE,"Schedule contingency"
RAINDATE,"Scheduler's fallback position"
RAINDEAR,"Missed Connection: You gallantly lent me your umbrella during a downpour, then disappeared - my ___!"
RAINDROP,"Chopin's '___' Prelude (Prelude No. 15 in D flat)"
RAINDROP,"Drizzle unit"
RAINDROP,"Faller on Bacharach's head"
RAINDROP,"Hail origin"
RAINDROP,"Kerplop maker"
RAINDROP,"Nimbostratus output"
RAINDROP,"One coming down"
RAINDROP,"Precipitation indication"
RAINDROP,"Shower unit?"
RAINDROP,"Start of a deluge"
RAINDROP,"Start of a storm"
RAINDROP,"Unhappy picnic omen"
RAINDROP,"Water fall?"
RAINFALL,"Annual climatological statistic"
RAINFALL,"Drops from above"
RAINFALL,"Drops from on high"
RAINFALL,"Hilo statistic"
RAINFALL,"It's measured in inches"
RAINFALL,"Picnic spoiler"
RAINFALL,"Precipitation type"
RAINGEAR,"Certain hats and shoes"
RAINGEAR,"Slickers and the like"
RAINGEAR,"Stuff worn in a storm"
RAINGEAR,"Totes merchandise"
RAINGEAR,"Wet weather wear"
RAINHATS,"Headgear for inclement weather"
RAINHATS,"Shower caps?"
RAINHATS,"Sou'westers"
RAINIEST,"Having the most precipitation"
RAINIEST,"Like Hawaii's Mount Waialeale, of all places in the U.S."
RAINIEST,"Most wet, in a way"
RAINIEST,"Wettest"
RAINLESS,"    Dry"
RAINOUTS,"Dates rescheduled"
RAINOUTS,"Disappointments for baseball fans"
RAINOUTS,"Replay causes"
RAINTREE,"""___ County"" (1957 Liz Taylor film)"
RAINTREE,"""___ County"" (Taylor/Clift movie)"
RAINTREE,"'___ County' (Liz Taylor movie)"
RAINTREE,"Civil War film, ""___ County"""
RAINTREE,"Liz Taylor movie ""___ County"""
RAINWEAR,"Galoshes, slickers, etc."
RAINWEAR,"Macs and such"
RAINWEAR,"Protection against cats and dogs?"
RAINWEAR,"Slickers and the like"
RAINWEAR,"Waterproof clothing, e.g."
RAINYDAY,"Future time of need, metaphorically"
RAINYDAY,"Reason for saving"
RAINYDAY,"Saver's eventuality"
RAINYDAY,"Something to save for"
RAINYDAY,"Time of financial need, in a phrase"
RAINYDAY,"Time to save for"
RAINYDAY,"Time to use one's nest egg?"
RAISABLE,"Like ruckuses or roadster roofs"
RAISEDAF,"Grew an iris"
RAISEDUP,"Elevated"
RAISEDUP,"Lifted: 2 wds."
RAISESIT,"Increases the pot*"
RAISESUP,"Elevates"
RAISETHE,"___ roof"
RAISININ,"""A ___ the Sun"""
RAKEHELL,"Libertine"
RAKEHELL,"Roue"
RAKEHELL,"Roué"
RAKEITIN,"Bring home the big bucks"
RAKEITIN,"Win big"
RAKEOFFS,"Drops*"
RAKEOFFS,"Ill-gotten gains"
RAKEOFFS,"Illegal commissions"
RAKEOFFS,"Shares of morally dubious payments"
RAKEOFFS,"Skimmers' skimmings"
RAKESOFF,"Clears of leaves, as a driveway"
RAKINGIN,"Amassing amply"
RAKINGIN,"Amassing, as money"
RAKINGIN,"Winning big, Vegas-style"
RAKINGIN,"Words with profits or the dough"
RALLIERS,"Tennis players, at times"
RALLIERS,"Those making a comeback"
RALLYCAP,"It's usually a regular one worn backwards"
RALLYIST,"Certain road racer"
RALSTONS,"Purina's partner, et al."
RAMADANS,"Months of dawn-to-dusk fasting"
RAMALLAH,"West Bank city"
RAMAYANA,"Hindu epic"
RAMAYANA,"Sanskrit epic"
RAMBLEON,"Talk and talk and talk..."
RAMBLEON,"Talk and talk and talk....."
RAMBLERS,"AMC cars of the '50s and '60s"
RAMBLERS,"Wanderers"
RAMBLING,"All over the map"
RAMBLING,"Directionless"
RAMBLING,"Like an absent-minded professor, maybe"
RAMBLING,"Straying from the subject"
RAMBUTAN,"Malayan tree bearing red fruit"
RAMPAEES,"Storms"
RAMPAGED,"Ran out of control"
RAMPAGED,"Rushed violently"
RAMPAGED,"Went wild"
RAMPAGES,"Destructive episodes"
RAMPAGES,"Mob activities"
RAMPAGES,"Rushes furiously"
RAMPAGES,"Rushes violently about"
RAMPAGES,"Stampedes"
RAMPAGES,"Storms batter leaves (8)"
RAMPAGES,"Tears"
RAMPANCY,"Fury"
RAMPARTS,"Breastworks"
RAMPARTS,"Defensive fortifications"
RAMPARTS,"Fortifications"
RAMPARTS,"Fortifications in ""The Star-Spangled Banner"""
RAMPARTS,"Key defenses?"
RAMPARTS,"Key locale?"
RAMPARTS,"Key watched o'er them"
RAMPETAL,"Pretty sheep decoration?"
RAMSESII,"Builder of two temples at Abu Simbel"
RAMSESII,"Son and successor of Seti I"
RAMSGATE,"English Channel resort"
RAMSGATE,"English seaport"
RAMSHEAD,"Dodge emblem description (4,4)"
RAMSHOME,"Emphasizes forcefully"
RAMSHOME,"Emphasizes forcefully in a zoo?"
RAMSHOME,"Emphasizes with vehemence"
RAMSHORN,"Biblical trumpet"
RAMSHORN,"Instrument a.k.a. ""shofar"""
RAMSHORN,"It's blown during Rosh Hashanah"
RAMSHORN,"It's blown on Yom Kippur"
RAMSHORN,"Shofar"
RAMSINTO,"Butts"
RAMSINTO,"Collides with"
RAMTOUGH,"Dodge print-ad words, formerly (3,5)"
RANABOUT,"Hurried in no particular direction"
RANABOUT,"Scurried here and there"
RANAFOUL,"Messed up"
RANAFOUL,"Violated, with ""of"""
RANAFTER,"Chased down"
RANAFTER,"Pursued"
RANALONG,"Departed"
RANALONG,"Got going"
RANALONG,"Left"
RANALONG,"Made an exit"
RANALONG,"Skedaddled"
RANAMUCK,"Lost self-control"
RANAMUCK,"Rampaged"
RANARACE,"Competed in a marathon, e.g."
RANARACE,"Did 10K, say"
RANARACE,"Sprinted, perhaps"
RANARISK,"Didn't play it safe"
RANARISK,"Exposed oneself to danger"
RANARISK,"Threw caution to the wind"
RANARISK,"Wasn't cautious"
RANARISK,"Wasn't cautious, perhaps"
RANCHERO,"Dogie catcher"
RANCHERO,"Ford's '57-'79 car/pickup hybrid"
RANCHERO,"Ford's counterpart to Chevrolet El Camino"
RANCHERO,"Ford's counterpart to Chevy El Camino"
RANCHERO,"Mexican livestock-farm owner"
RANCHERO,"South American cowboy"
RANCHERO,"South American herder"
RANCHERO,"South American spread owner"
RANCHERO,"Southwestern spread owner"
RANCHERO,"Vaquero's relative"
RANCHERS,"Cattlemen"
RANCHERS,"Oater landowners"
RANCHERS,"Stock holders?"
RANCHERS,"They have head on their spreads"
RANCHMAN,"Person familiar with dudes?"
RANCHMEN,"Cowboys"
RANCHMEN,"Cowboys' employers"
RANDOLPH,"Air Force base near San Antonio"
RANDOLPH,"Country saxman Boots ___"
RANDOLPH,"First president of the Continental Congress"
RANDOLPH,"Publishing middle name"
RANDOLPH,"San Antonio Air Force base"
RANDOLPH,"Sax player Boots"
RANDOLPH,"Shea manager"
RANDOLPH,"Texas air force base"
RANDOMLY,"How lottery numbers are selected"
RANDOMLY,"With no apparent pattern"
RANFORIT,"Got away quickly"
RANFORIT,"Took flight"
RANFORIT,"Took off at full speed"
RANGEWAR,"Big beef over big beef?"
RANGEWAR,"Cattlemen's clash"
RANGEWAR,"Wild West conflict"
RANGIEST,"Most slender and lean"
RANGTRUE,"Seemed right"
RANGTRUE,"Sounded about right"
RANGTRUE,"Sounded reasonable"
RANLOOSE,"Went wild"
RANOUTON,"Abandoned"
RANOUTON,"Abandoned, in a way"
RANOUTON,"Deserted"
RANOUTON,"Ditched"
RANOUTON,"Left in the lurch"
RANSACKS,"Looks through thoroughly"
RANSACKS,"Loots"
RANSACKS,"Pillages for loot"
