AARONCOPLAND,"""A Lincoln Portrait"" composer"
SPOTPOTSTOPS,"Locate cookware components?"
SPOTTEDHYENA,"African beast with a distinctive howl"
SPOTTEDSKUNK,"Stinky sprayer with a luxuriant coat"
SPOTTRAINING,"Obedience school objective?"
SPOUTCONTROL,"Expertise in pouring tea from a kettle?"
SPOUTERSPACE,"Debate area?"
SPOUTONALIMB,"Wrong way to get syrup from the maple tree?"
SPRAINDOCTOR,"Sports injury specialist?"
SPREADAROUND,"DRAPES all over?"
SPREADSHEEET,"Too much information?"
SPREADSHEETS,"Make the beds?"
SPRINGBREAKS,"College students and mattress testers?"
SPRINGFINGER,"Digit that pops up?"
SPRINGISHERE,"March words"
SPRINGLEADER,"First robin to arrive?"
SPRINGLEADER,"March king?"
SPRINGLEAVES,"Mercer tune sung in Sydney?"
SPRINGPEEPER,"Wet, small brownish tree frog?"
SPRINGSALEAK,"Starts to drop drips"
SPRINGSILVER,"Get Long John out of the brig?"
SPRINGSPRINT,"April race?"
SPRINTCHARGE,"Track + Basketball"
SPRINTNEXTEL,"Telecommunications giant"
SPYSSTYXMYTH,"Underworld river legend as told by a double agent?"
SQUADCARFACE,"Cruiser grille?"
SQUADOFBILLS,"The Secret Service, under Clinton?"
SQUADOFMONEY,"Treasury Department staff?"
SQUANDERLUST,"Compulsion to waste stuff?"
SQUAREBEHIND,"FOUR ___: supporting"
SQUAREDANCER,"Do-si-do type"
SQUAREDANCER,"Hoedown participant"
SQUAREDANCER,"One sashaying in a hoedown"
SQUAREENOUGH,"Sufficiently close to 90º?"
SQUARENICHES,"Cubbyholes of a certain shape?"
SQUARENUMBER,"Thirty-two for players?"
SQUARERIGGER,"Brig, for one"
SQUASHCOURTS,"Four-walled play areas"
SQUASHEDBUGS,"Windshield nuisance"
SQUASHRACKET,"Veggie scam?"
SQUEAKYCLEAN,"Above reproach"
SQUEAKYCLEAN,"Like a scrubbed mirror"
SQUEAKYCLEAN,"Pure"
SQUEAKYCLEAN,"Ready for inspection"
SQUEAKYCLEAN,"Ready for the white glove treatment"
SQUEAKYQUEEN,"Attention-getting mom in a hive?"
SQUEAKYQUEEN,"Case of the noisy gumshoe?"
SQUEAKYQUEEN,"Royalty in need of oiling?"
SQUEAKYWHEEL,"It gets the grease"
SQUEEZERIGBY,"Give Peter Pan portrayer Cathy a big hug?"
SQUIDINKLING,"Notion of an underwater creature?"
SQUIRECUTTER,"Tool for a medieval handyman?"
SQUIRRELAWAY,"'Still, I'm imparting loads of useful information that I hope they'll ___…'"
SQUIRRELAWAY,"Hoard"
SQUIRRELAWAY,"Put into storage"
SQUIRRELAWAY,"Store for future use"
SQUIRTBOTTLE,"Cyclist's water holder"
SQUIRTFLOWER,"Third trick"
SRAEGESREVER,"Go the other way"
SSSSATELLITE,"Mil. registrar's branch office"
STACKTHEDECK,"*Fix a poker game, say"
STACKTHEDECK,"Cheat, for a librarian?"
STAFFMEETING,"A boss might schedule one"
STAFFMEETING,"A gathering of the force?"
STAFFMEETING,"If you're the boss, you can hold your own"
STAFFOFCHIEF,"Walking stick for Sitting Bull?"
STAGECOACHES,"Old West outlaws and aspiring thespians?"
STAGEEFFECTS,"Rock concert pyrotechnics"
STAGEMANAGER,"""Our Town"" role"
STAGEMANAGER,"Caller of curtain cues"
STAGEMANAGER,"Old Wells Fargo boss?"
STAGEMANAGER,"One concerned with entrances and exits"
STAGEMANAGER,"Show runner"
STAGEUPRIGHT,"Theater supporter?"
STAGEWHISPER,"""Psst, horse, don't wake the coach riders"""
STAGEWHISPER,"Aside from accepting no females, we back his upstanding reputation (5,7)"
STAGNANTPOND,"Mosquito breeding ground"
STAIDTROOPER,"Horse-cavalry soldier who's hardly capricious?"
STAINEDCLASS,"Students with a bad rep?"
STAINEDGLASS,"Colorful cathedral component"
STAINEDGLASS,"Feature of many cathedral windows"
STAINEDGLASS,"GLINDA with hidden ASSETS, in church"
STAINEDGLASS,"Medium for much religious artwork"
STAINEDGLASS,"Window material, at times"
STAINEDGUARD,"Sentry covered with smudges?"
STAINREMOVER,"It may work on the spot"
STAINREMOVER,"Spray 'n Wash or OxiClean"
STAINTHEMAIN,"Lacquer a big pipe?"
STAIRSTEPPER,"*Machine near a treadmill, perhaps"
STAKEOUTFOOD,"Donuts and coffee in the police car?"
STAKEPLATTER,"Pot with a pile of chips?"
STAKETARTARE,"Vampire slayer's favorite food?"
STAKINGPOWER,"Vampire-killing ability?"
STALEFORTIME,"Not fresh enough to run in a newsweekly?"
STALKINTRADE,"Celery exchange?"
STALLFORTIME,"Use delaying tactics"
STAMENOFFACT,"""Roses are red,"" for example?"
STAMPMACHINE,"Post-office dispenser"
STANDARDBEAR,"Brown seven-footer?"
STANDARDDYES,"Basic salon inventory?"
STANDARDFIRM,"Normal company?"
STANDARDTIME,"Part of P.S.T."
STANDARDTIME,"The 75th meridian in the East"
STANDARDTIME,"The 75th meridian in the east, e.g."
STANDBYPOWER,"What a backup generator provides"
STANDINGFAST,"Not yielding"
STANDINGFIRM,"Refusing to change one's position"
STANDINGMOOR,"Othello on his feet?"
STANDINGROOM,"Provision for late-arriving spectators"
STANDINGROOM,"Sellout offer"
STANDINGROOM,"Spillover space, or a wedding sub?"
STANDINGROOM,"Theater accommodation"
STANDTHETEST,"Survive an ordeal"
STANDUPCOMIC,"Lineman?"
STANLEYQUART,"NHL trophy, enlarged?"
STARCHSEARCH,"Laundry worker's quest?"
STARDUSTPANS,"Carmichael classic/broom buddies"
STARINGROLES,"What eyes have?"
STARINGWHALE,"Sea World creature who seems to be really fixated on something?"
STARLINGTREK,"Migration of gregarious birds?"
STARMAGAZINE,"Gossip source"
STARRCROSSED,"Like Bill and Monica?"
STARRCROSSED,"Like a two-timed Ringo?"
STARREPORTER,"Lois Lane, e.g."
STARRINGROLL,"John Dough's Hollywood dream?"
STARRWITNESS,"Linda Tripp, perhaps?"
STARSANDBARS,"Confederate flag"
STARSANDBARS,"SPORTS..."
STARSANDPARS,"Film about a celebrity golf tournament?"
STARSAPPHIRE,"Certain blue stone"
STARSAPPHIRE,"Gem highlights a very quiet engagement (4,8)"
STARSAPPHIRE,"One of Green Lantern's enemies"
STARSPANGLED,"Like a certain banner"
STARSPANGLED,"Sailor's bit of anguish aboard simple vehicle covered in sparkly things (4-8)"
STARTAFAMILY,"Have one's first child, perhaps"
STARTINGGATE,"Where Whirlaway waited"
STARTINGLINE,"Gate at the track"
STARTINGOVEN,"The Easy-Bake, for one?"
STARTINGOVER,"Back at square one"
STARTOFFFAST,"Get a good jump in a race"
STARTSAFIGHT,"FIG"
STARTTOSTINK,"Become noticeable, like old food in the fridge"
STASHINGAWAY,"Secretly amassing"
STATEBLOOPER,"Governor's goof?"
STATECAPITAL,"Lincoln or Madison"
STATEOFBEING,"Physical condition"
STATEOFBLISS,"Cloud nine"
STATEOFBLISS,"Very happy ""place"" [read the Notepad for info about the hidden answers in this puzzle]"
STATEOFSHOCK,"Astounded condition"
STATEOFSHOCK,"Hit song for The Jacksons with guest vocalist Mick Jagger"
STATEOFSIEGE,"Belligerency"
STATEPRIMARY,"New Hampshire has one on January 8"
STATEQUARTER,"One of fifty U.S. coins"
STATEREGENTS,"University officials"
STATEREVENUE,"Sales taxes, e.g."
STATESAVENUE,"Massachusetts or Georgia, in D.C.?"
STATESECRETS,"They're hush-hush"
STATESENATOR,"Capitol worker"
STATESPEOPLE,"Ambassadors and such, or an appropriate title for this puzzle"
STATETROOPER,"Smokey [Isuzu]"
STATINISLAND,"Where doctors discussing cholesterol medications meet in New York?"
STATIONAGENT,"Small-town railroader"
STATIONBREAK,"Broadcast interruption"
STATIONBREAK,"Program interruption"
STATIONBREAK,"Spot for a commercial"
STATIONBREAK,"Time for call letters"
STATIONWAGON,"'50s version of an SUV"
STATUSCYMBAL,"Instrument that has really arrived"
STATUSCYMBAL,"Instrument that makes a drummer feel important?"
STATUSSYMBOL,"No logo for ne'er-do-wells"
STATUTORYAWL,"Legal punch?"
STAYEDSTEADY,"Kept on an even keel?"
STAYEDSTEADY,"Remained reliable"
STAYINGALIVE,"*""Saturday Night Fever"" sequel"
STAYINGAWAKE,"What Little Boy Blue was bad at"
STAYINGPOWER,"Stamina"
STAYPUFTSMAN,"Bad guy in a 1984 comedy"
STAYTHENIGHT,"Sleep over"
STBERNARDBUS,"Popular intercity transport"
STEADSOFHATE,"Podium laces?"
STEADSOFHATE,"ces of plodium?"
STEAKTARTARE,"Seasoned raw meat dish"
STEALINGAWAY,"*Leaving in secret"
STEALSSECOND,"Gets in scoring position, perhaps"
STEALTHESHOW,"Draw attention away from everyone else"
STEALTHESHOW,"Get raves for a bit part"
STEALTHESHOW,"Outshine onstage"
STEALTHESHOW,"Really stand out"
STEALTHESHOW,"Thieve in the theater?"
STEAMEDCLAMS,"Entrée served in a bucket"
STEAMEDCLAMS,"Fuming silent types?"
STEAMEDCLAMS,"Shellfish order"
STEAMEDCLAMS,"They're speechless with rage?"
STEAMERTRUNK,"Big clam in the back of the car?"
STEAMERTRUNK,"Container stowed under a berth"
STEAMERTRUNK,"It's often stowed under a bunk"
STEAMERTRUNK,"Sailor's luggage piece"
STEAMROLLERS,"Runs roughshod over"
STEAMROLLERS,"They make pancakes?"
STEAMYSCENES,"""... there are quite a few ___..."""
STEELCURTAIN,"Pittsburgh's defensive line, in the 1970s"
STEELGUITARS,"Danielle's music business"
STEELHELMETS,"Head liners?"
STEELIGHTFUL,"""The new Metallica CD? ___!"""
STEELMILLARD,"Fortify Fillmore?"
STEELPIGEONS,"Heavy-metal birds?"
STEELTHESHOW,"Reinforce a revue?"
STEELTRUSSES,"Some metal frames"
STEELYDANISH,"Stoic Scandinavians?"
STEEPLECHASE,"Competition for pastors?"
STEEPLECHASE,"It's difficult to believe the French follow obstacle race (12)"
STEEPLECHASE,"Race through a series of obstacles, with unreasonably high rent besieging church (12)"
STEERCLEAROF,"Avoid"
STEERINGGEAR,"Directing mechanism"
STEERINGHEEL,"Cad in charge?"
STEGGOSAURUS,"Jurassic giant"
STEGTONATURE,"Eats organic food, goes hiking, etc."
STEINBRENNER,"Yankee V.I.P."
STELLADALLAS,"1937 Barbara Stanwyck movie"
STELLADALLAS,"Barbara Stanwyck's role as a Texan?"
STELLADALLAS,"Lolly-Baby's self-sacrificing mother"
STELLADALLAS,"Radio drama ""of mother love sacrifice"""
STEMSTHETIDE,"Slows a catastrophe"
STEMSTHETIDE,"Slows an onslaught"
STEPBABYSTEP,"Encouraging words to a newly walking toddler?"
STEPHENCRANE,"""The Red Badge of Courage"" author"
STEPHENCRANE,"Author of ""The Red Badge of Courage"""
STEPHENQUEEN,"Best-selling author?"
STEPONNOPETS,"A.S.P.C.A.'s palindromic advice"
STEPONTHEGAS,"Floor it!"
STEPONTHEGAS,"Go great guns!"
STEPONTHEGAS,"Punch it"
STEPONTHEGAS,"Put the pedal to the metal"
STEPONTHESAG,"Check out a depression in the floor?"
STEPSFORWARD,"Volunteers"
STEPSONDHEIM,"Company man?"
STEREOSTORES,"CD outlets"
STEREOSTORES,"Electronics outlets"
STERNWARNING,"""Beware the back of the boat, matey!!""?"
STERNWHEELER,"Mississippi River boat"
STEVEBUSCEMI,"Actor who always looks creepy as hell"
STEVECARLTON,"Driving pitcher?"
STEVECARLTON,"Four-time Cy Young winner"
STEVECARLTON,"Set NL record by pitching 15 Opening Day games"
STEVEDOUGLAS,"""My Three Sons"" dad"
STEVEFORREST,"ACTOR SPOTTED IN ""GREEN MANSIONS?"""
STEVEFOSSETT,"14 days, 20 hours, 1 minute by balloon"
STEVEFOSSETT,"First to cross the Pacific in a balloon"
STEVELARGENT,"Seven-time Pro Bowl player/he filled Jim Inhofe's house seat upon Inhofe's ascension to the Senate"
STEVEMARTINI,"Author of ""The Attorney"" and ""The List"""
STEVEMARTINI,"Author of ""The Jury"" and ""The Arraignment"""
STEVEMCQUEEN,"""The Getaway"" star, 1972"
STEVEMCQUEEN,"Star of ""Bullitt"" & ""Le Mans"" movies (5,7)"
STEVENCANYON,"Funnies flier"
STEVENSEAGAL,"""Under Siege"" star"
STEVENSEAGAL,"He played a chef in ""Under Siege"""
STEVENWRIGHT,"AUTHOR OF THE QUIP"
STEVENWRIGHT,"Comic who inspired this puzzle's theme query"
STEVENWRIGHT,"Source of quip"
STEVENWRIGHT,"Speaker of the quip"
STEVEWICHITA,"Eydie Gorme's hubby?"
STEVIEDOWNER,"He really sings the blues?"
STEVIEWONDER,"""Little"" singer of ""Fingertips - Pt. 2"""
STEVIEWONDER,"""Part-Time Lover"" man"
STEVIEWONDER,"Before the surprise party, didn't ___?"
STEVIEWONDER,"He never sang with Bread"
STEVIEWONDER,"He played harmonica on Elton John's ""I Guess That's Why They Call It the Blues"""
STEVIEWONDER,"He played harmonica on Sting's ""Brand New Day"""
STEVIEWONDER,"He wrote the Jermaine Jackson hit ""Let's Get Serious"""
STEVIEWONDER,"I just called to say ""he won an Oscar in 1984"""
STEVIEWONDER,"Singer of this puzzle's title"
STEVIEWONDER,"Singer who dropped ""Little"" from his name at age 13"
STEWARDESSES,"One of the only 12 letter words that typists can produce with just the left hand on a standard keyboard"
STEWARDESSES,"Virgin women?"
STEWEDABAKER,"Got a bread-maker drunk?"
STEWEDPRUNES,"Breakfast dish for regular folks?"
STEWEDPRUNES,"Dried-fruit preparation"
STEWEDPRUNES,"Drunken dish for regular folks?"
STEWEDPRUNES,"Fruit juice alternative"
STEWLATEBABY,"""Start the bouillabaisse at midnight, honey""?"
STGEORGESBAY,"Newfoundland coastal area"
STGEORGESDAY,"British observance of April 23"
STICKERPRICE,"Acupuncturist's fee?"
STICKERPRICE,"Figure on a new car"
STICKERPRICE,"Problem for some car buyers"
STICKERPRICE,"Showroom starting point"
STICKERPRICE,"Source of showroom shock?"
STICKERSHOCK,"Dismay at the dealer"
STICKERSHOCK,"New-car shopper's reaction, maybe"
STICKERSHOCK,"Result of backing into a cactus?"
STICKERSHOCK,"Showroom surprise"
STICKINTHEMU,"Add a Greek letter?"
STICKTOITIVE,"Persevering"
STICKTOITIVE,"Pertinacious"
STICKUPSHIFT,"Work period most prone to robberies?"
STICKWITHHER,"Ms. Carrot told Stew to ___"
STICKYWICKET,"Awkward situation"
STICKYWICKET,"Awkward situation, in Avon"
STICKYWICKET,"Trouble sign"
STIFFFEEENDS,"Death tax is repealed?"
STILECOUNCIL,"Committee on El barriers?"
STILETTOHEEL,"High, thin shoe-lift"
STILETTOHEEL,"Part of a femme fatale's outfit"
STILLANDTALL,"Like the big, strong, silent type?"
STILLIGHTFUL,"""The new Jed Clampett Moonshine Manual? ___!"""
STILLPOPULAR,"End of the quotation"
STINKINGRICH,"Bowery bum title?"
STINKYDIVING,"Snorkeling near a garbage scow?"
STINKYPINKIE,"Rhyming word game"
STIRLINGMOSS,"'50s British sportscar racer"
STIRLINGMOSS,"English racer"
STIRLINGMOSS,"English racer with a car named after him"
STIRRINGROLE,"What a chef's helper has?"
STITCHINTIME,"Period followin' surgery?"
STITCHINTIME,"Proverbial saver of nine, with ""a"""
STLOUISBLAZE,"Missouri city fire?"
STLOUISRAFTS,"Missouri-based paddling team? (distance)"
STLOUISRAMBO,"Macho man from the Gateway Arch city?"
STLOUISVILLE,"Missouri/Kentucky municipal bond"
STOCKAMARKET,"Fill grocery store shelves?"
STOCKANALYST,"CATTLE BREEDER"
STOCKHOLDERS,"Annual meeting attendees"
STOCKINGFEAT,"Filling the shelves with no leftover merchandise or space?"
STOCKINTRADE,"Merchandise and such"
STOCKMARKETS,"Trading spaces"
STOCKOPTIONS,"Executive perk"
STOCKOPTIONS,"Job perk for some"
STOCKOPTIONS,"Some employee benefits, and this puzzle's title"
STOCKPOTIONS,"What a magic shop might do?"
STOCKQUIXOTE,"Idealist on Wall Street?"
STOCKQUIXOTE,"Keep some essential Spanish fiction on the shelf?"
STOCKQUIXOTE,"Standard idealist?"
STOCKQUIXOTE,"Your usual standard romantic idealist?"
STOCKRECORDS,"Specialty music stores do this"
STOCKSTUFFER,"One who fattens up cattle?"
STOCKTHERAPY,"Help for depressed investor?"
STOCKYWICKET,"Awkward situation in Fat City?"
STOLLENBASES,"Yeast, fruit and nuts?"
STOMACHACHES,"Tolerate some pain?"
STOMACHUPSET,"Agita"
STONECUTTERS,"Sharon's tools?"
STONEFORTIME,"Director Oliver supporting news magazine?"
STONEFORTIME,"Quartz?"
STONEOFSCONE,"One-time seat for Scottish kings"
STONEROLLING,"Sisyphus' punishment, in myth?"
STONESELLERS,"Sharon and Peter's jewelry shop?"
STONESKIPPER,"Dapper?"
STONESKIPPER,"Russell Byars is one: He set the Guinness World Record of 51 times from the shore of the Allegheny River on 7/19/2007"
STOOGEFRIGHT,"Story of pie-throwing ghosts?"
STOOPPAYMENT,"Deposit on a brownstone entrance?"
STOOPPAYMENT,"Transaction at the front door?"
STOPANDSTARE,"OneRepublic hit"
STOPANDTHINK,"Whoa!"
STOPPEDCLOCK,"It's right twice a day"
STOPSNITCHIN,"Anti-police informant slogan used on DVDs, shirts, etc."
STOPSTOPSTOP,"1966 Hollies hit"
STOPSUNDIALS,"Before watches, were there...?"
STOPTHECLOCK,"""Time out!"""
STOPTHECLOCK,"Call a time-out"
STOPTHEMUSIC,"'50s game show"
STOPTHEMUSIC,"1940s-'50s TV game show"
STORAGEBINGO,"Number-calling game played in a closet?"
STORAGESPACE,"Attic or basement"
STORAGESPACE,"Attic or basement, often"
STORAGESPACE,"Where to stuff stuff"
STORELOCATOR,"On-line aid for shoppers' stops"
STOREMANAGER,"Patron of mines?"
STORESCLOSED,"Part 2 of headline"
STORMCENTERS,"EYES"
STORMTROOPER,"Imperial ""Star Wars"" fighter"
STORMTROOPER,"White-clad ""Star Wars"" baddie"
STORMTROOPER,"White-suited soldier"
STORMWINDOWS,"Cold-weather home adjunct"
STORMYTEMPER,"Beware of that meteorologist: She has a ___"
STORYMAYGOTO,"Part 3 of quip"
STPETERSBURG,"It's not far for the Devil Rays to travel to for spring training"
STRAIGHTDOPE,"Honest info"
STRAIGHTDOPE,"Truthful information, slangily"
STRAIGHTENUP,"""Above all, if he starts slacking off, never tell him to '___' """
STRAIGHTFACE,"Comedian's demeanor, often"
STRAIGHTFACE,"Deadpan comic's expression"
STRAIGHTFACE,"Deadpan expression"
STRAIGHTLINE,"Sobriety test challenge"
STRAIGHTTALK,"No-holds-barred conversation"
STRAINEDPEAS,"Some baby food"
STRAINEDPPPP,"Baby food, alphabetically?"
STRAINTRACKS,"Crow's-feet and other wrinkles?"
STRAITJACKET,"Restraint"
STRAITTOHELL,"Waterway for sinners?"
STRANGASANAX,"""Equus"" character Alan transforms to become useful to a lumberjack?"
STRANGECARGO,"1940 Joan Crawford film"
STRANGERRICK,"Very weird Moranis, compared to slightly odd Springfield?"
STRANGLEHOLD,"Hulk Hogan's choker?"
STRAPPINGLAD,"Patron of young rhymers?"
STRAPSESSION,"Commuter's ride?"
STRATOSPHERE,"Upper reaches"
STRAUSSEDOUT,"Feeling waltz fatigue?"
STRAWBALLOTS,"Unofficial votes *"
STRAWBERRYPI,"Alternative to ambrosia?"
STRAWCOLORED,"Yellowish-brown"
STRAWPOLLACK,"Likeness of director Sidney used as a scarecrow?"
STREAMENDOUS,"""L.L. Bean's new fishing rod? ___!"""
STREAMPOWDER,"Silt that came from a brook?"
STREETCINEMA,"Sporty Thievz album that featured the 1999 hit ""No Pigeons"""
STREETCORNER,"Traffic light site"
STREETLAWYER,"# 1 on the 1998 fiction list by John Grisham (with ""The"")"
STREETORGANS,"Sidewalk music makers"
STREETURCHIN,"Guttersnipe"
STREOFCALAIS,"Water between England and Europe"
STREPDUKAKIS,"Bacteria to avoid if you're running for president?"
STRETCHEDOUT,"O U T"
STRETCHJEANS,"The limo drivers wore ___"
STRETCHLIIMO,"Too long a ride?"
STRETCHPANTS,"They may have a slimming effect"
STRIKEALIGHT,"Take this girl out, I say! (6,1,5)"
STRIKEDANGER,"Two more zones"
STRIKEITRICH,"Clean up"
STRIKEITRICH,"Clean up, in a way"
STRIKEITRICH,"Hit the jackpot"
STRIKEITRICH,"Hit the mother lode"
STRINGBIKINI,"*Sexy beachwear"
STRINGBIKINI,"Barely-there beachwear"
STRINGBIKINI,"Fiddler's inVestment of the 1970s?"
STRINGBIKINI,"Skimpy beach wear"
STRINGBIKINI,"Violinist's beach attire?"
STRINGCHEESE,"Food you can pull apart"
STRINGGUITAR,"12-___"
STRINGSALONG,"Keeps waiting"
STRINGSTRING,"Extend a series?"
STRINGTHEORY,"Belief that orchestras would be better without woodwinds, brass, or percussion?"
STRIPEDBRASS,"Referees' union leaders?"
STRIPPEDDOWN,"Sans frills"
STROBEEFFECT,"Flashing phenomenon"
STROKEOFLUCK,"Hole in one?"
STRONGASANOX,"Possessing muscular might"
STRONGASANOX,"Quite powerful"
STRONGASANOX,"Really powerful"
STRONGASANOX,"Simile #3"
STRONGASCENT,"Result of a rocket liftoff?"
STRONGBADASS,"Guy you don't want to mess with because he's super-ripped?"
STRONGBREEZE,"6 on the Beaufort Scale"
STRONGHEBREW,"Samson, e.g.?"
STRONGSAILOR,"Popeye or Bluto?"
STRUCKACHORD,"... music because it ___"
STUARTLITTLE,"E.B. White classic of 1945"
STUCKINABOOK,"Like a busy nose?"
STUCKINAROOT,"Having difficulty with math?"
STUCKRECORDS,"Platterdisk"
STUDDEDTIRES,"Winter traction aids"
STUDDETECTOR,"Talent scout for Chippendale's?"
STUDENTLOANS,"*Graduates' burdens"
STUDENTUNION,"Wedding between classmates?"
STUDSLONIGAN,"James Farrell's subject in his 1930s trilogy"
STUDYMUFFINS,"Specialize at baking school?"
STUFFCOOKIES,"Make Oreos?"
STUFFEDOLIVE,"Girl who just ate?"
STUFFEDSHIRT,"Fuddy-duddy"
STUFFEDSHIRT,"Pompous bore"
STUFFEDSHIRT,"Pooh Bah"
STUFFEDSHIRT,"Snob"
STUFFEDSHIRT,"What a snob wears?"
STUFFHAPPENS,"""But hey, ___!"""
STUFFONESELF,"Overeat"
STUFFPENALTY,"The slam-dunker's penalty?"
STUMBLEABOUT,"FLOUNDER"
STUMPREMOVAL,"Big task for a landscaper"
STUNNINGBLOW,"Knockout cause, maybe"
STUNTDOUBLES,"They'll take the fall in Hollywood"
STUPIDCROOKS,"*Less than bright law breakers"
STUPIDPERSON,"Turkey"
STUPIDPUZZLE,"""%$^&#!"""
STUUCKONYOUU,"1960 #1 Elvis Presley hit... or an apt title for this puzzle"
STYLINGGAVEL,"Salon tool for recalcitrant customers?"
STYLINGMOOSE,"Antlered salon employee?"
STYLINGMOOSE,"Tundra hairdresser?"
STYLINGMOOSE,"Wild guy with a hair care show?"
SUBARUBYPASS,"Alternative route only for a certain car make?"
SUBLIMEGREEN,"Putter's dream?"
SUBLIMESTONE,"Sensational sapphire, say?"
SUBPARRAPBUS,"Inferior tour vehicle for Snoop Dogg?"
SUBROSAPARKS,"Confidential town green projects?"
SUBSTITUTION,"""The pizzeria's out of mushrooms, though, so he'll need to make a ___"""
SUBWAYSERIES,"Event of 1956 or 2000"
SUBWAYSERIES,"Yankees-Mets match-up"
SUBWAYSERIES,"Yanks vs. Mets matchup, e.g."
SUBWAYTOKENS,"Part of the new ""Living in Manhattan"" Barbie?"
SUCCEEDSLIKE,"Part 2 of quote"
SUCCESSDIDNT,"Start of a Fran Lebowitz quip"
SUCCESSSTORY,"Horatio Alger book, e.g."
SUCCESSSTORY,"Tale of triumph"
SUCHALLYWORD,"""Honesty,"" to Billy Joel"
SUCKERPONCHO,"Dirty fighter's wrap?"
SUCTIONPUMPS,"Operating room necessities"
SUDDENIMPACT,"'Go ahead, make my day' movie"
SUDDENIMPACT,"1983 Dirty Harry flick"
SUDDENLYLAST,"___ Summer"
SUEANNNIVENS,"'The Happy Homemaker' of 'The Mary Tyler Moore Show'"
SUEROLYMPICS,"Quadrennial court cases?"
SUGARANDSALT,"Flavor enhancers"
SUGARCONTENT,"Food label information"
SUGARLESSGUM,"Chew choice"
SUGARPACKETS,"Sucrologist's collection"
SUGARPLUMAGE,"Sweet feathers?"
SUGARPLUMPER,"Sweetheart with a weight gain?"
SUGARSNAPPEA,"It's succulent in the shell, steamed, or stir-fried"
SUICIDEMATCH,"Thing one lights after being doused by gasoline?"
SUICIDESQUAD,"Kamikaze force"
SUICIDESQUAD,"Kickoff team, in football lingo"
SUISSEISSUES,"Basel bonds?"
SUITEDTOMCAT,"Dressed up tabby?"
SUITTOGOATEE,"Be a complement for a beard?"
SUITTOOKATEE,"Exec grabbed golf gadget?"
SUITYOURSELF,"""Whatever!"""
SUITYOURSELF,"Clothing salesman's reply"
SULTANOFSWAT,"Babe Ruth's nickname"
SULTANOFSWAT,"Despotic fly dispatcher?"
SULTANOFSWAT,"Ruth's regal rank"
SULTANPEPPER,"Spice fit for a Muslim sovereign?"
SUMACTHURMAN,"""Gattaca"" star moves to Charleston in order to play a poisonous plant?"
SUMMERBREEZE,"Something to enjoy on a beach"
SUMMERCITRUS,"Candle scent"
SUMMERINTERN,"Seasonal help"
SUMMERSCHOOL,"Camp on the campus?"
SUMMERSCHOOL,"Certain academic session"
SUMMERSCHOOL,"Dog days academic program"
SUMMERSCHOOL,"Hot spot for learning?"
SUMMERSCHOOL,"Off-season classes lose so much, Mr. Hurt (6,6)"
SUMMERSCHOOL,"Remedial learning venue"
SUMMERSCHOOL,"Remedy for failed courses, maybe"
SUMMERSCHOOL,"Seasonal education"
SUMMERSCHOOL,"Where to get back on course?"
SUMMERSQUASH,"Warm weather veggie"
SUMOCUMLAUDE,"He enrolled at the Japanese Wrestling Institute, and graduated..."
SUMORIESLING,"Winy sport?"
SUNDAYBLOODY,"1971 film, briefly"
SUNDAYDRIVER,"Inexpert motorist"
SUNDAYDRIVER,"Motoring menace"
SUNDAYDRIVER,"Weekend golfer's club?"
SUNDAYPAPERS,"S&P stock for lazy weekends?"
SUNDAYSSUPER,"PART 3 OF QUESTION"
SUNDAYSUNDAE,"Weekend ice cream treat?"
SUNDAYSUNDAY,"Early hit from the Mamas and the Papas?"
SUNDRIEDBEEF,"JERKY"
SUNMYUNGMOON,"Astronomer's church leader?"
SUNSHINEBAND,"KC's backers, with ""the"" (Florida)"
SUNSPOTCYCLE,"OTC market for astronomers?"
SUPENUEARIES,"Extras"
SUPERBIDEAIT,"Part 2 of the revelation"
SUPERBOWLCOM,"WWW 2.3 million dollar, 30 second spot?"
SUPERBOWLFOR,"Sports prediction, part 3"
SUPERBOWLIII,"Joe Namath's finest hour"
SUPERBOWLINE,"Top knot?"
SUPERCHARGER,"Feature of many a dragster (NFL)"
SUPERIORAIRS,"Pomposity"
SUPERIORCORD,"Better lighting line?"
SUPERIORGANG,"First-rate street-corner crowd?"
SUPERSTITION,"Stevie Wonder hit"
SUPERSTITION,"[See blurb]"
SUPERTANKARD,"Giant's mug?"
SUPERTROUPER,"ABBA hit album and single of 1980"
SUPERTROUPER,"ABBA tune (""Wishin' every show was the last show"")"
SUPERTUESDAY,"Primary season highlight"
SUPERTUESDAY,"Single day when the most nominating delegates can be won"
SUPPERSREADY,"Genesis song off ""Foxtrot"" that goes 22 minutes, 58 seconds"
SUPPLYCURVES,"Swimsuit models do this"
SUPPLYONHAND,"Stock"
SUPPORTBRAID,"Strong hair arrangement?"
SUPPORTGROUP,"Alcoholics Anonymous, e.g."
SUPPORTHOUSE,"Rehab center?"
SUPREMECOURT,"Legal venue for a member of Diana Ross's group?"
SUPREMECOURT,"Place of Rehnquist's tenure (with ""The"")"
SUPREMECOURT,"Tennis venue for monarchs?"
SUPREMECOURT,"Ultimate rulers"
SUPREMECOURT,"Where Souter sits"
SUPREMECOURT,"Wimbledon arena?"
SUPREMEQUART,"John Marshall's milk?"
SURELYTEMPLE,"Response of approval to a Philadelphia university?"
